key,old,new
rsp_msg_000,レンタルポイントの割り振り,Rental Point Allotment
rsp_msg_001,残りレンタルポイント,Left over Rental Points
rsp_msg_002,ジョブポイントに変換,Convert to Job Points
rsp_msg_003,※変換レート：1 JP = <VAL RP>,Conversion Rate：1 JP = <VAL RP>
rsp_msg_004,＝,
rsp_msg_005,"レンタルポイントの割り振りを行います
よろしいですか？

","Are you sure you want to
convert these Rental Points?

"
rsp_msg_006,"　消費レンタルポイント：<VAL RP>
",
rsp_msg_007,"　<COL ffdc78>獲得ジョブポイント　：<VAL JP></COL>
",
rsp_msg_008,"レンタルポイントの割り振りを行いました

","Rental Points converted

"
rsp_msg_009,"　<COL ffdc78>ジョブポイントを <VAL JP> 獲得しました</COL>
",
