key,old,new
CYCLE_QUEST_INFO_52,ジフール砦攻略戦,Jifule Fortress Capture Battle
CYCLE_QUEST_INFO_52ex1,"ジフール砦を悪しき竜軍が征服したようだ
砦へ入るための跳ね橋は吊り上げられ
内部へ進入することも難しい――召喚士による魔物の
召喚が絶えず行われており敵軍の征圧を阻害してくる
召喚士への道は塞がれているが、砦内に点在する
呪符への対処が砦攻略の鍵となるだろう",
CYCLE_QUEST_INFO_52ex2,"ミッションに参加する場合は
展望城にいるウォルトより
詳細を確認せよ",
CYCLE_QUEST_INFO_53,本作戦進行中,Mission in Progress
CYCLE_QUEST_INFO_53ex1,"ジフール砦を悪しき竜軍が征服したようだ
砦へ入るための跳ね橋は吊り上げられ内部へ
進入することも難しい――更に、召喚士による
魔物の召喚が絶えず行われ骸の巣窟と化している
召喚士は砦中に呪符を仕掛けており、砦を攻め
落とすにはこれら罠への正確な対処が不可欠だ",
CYCLE_QUEST_INFO_53ex2,"ジフール砦を悪しき竜軍が征服したようだ
砦へ入るための跳ね橋は吊り上げられ内部へ
進入することも難しい――更に、召喚士による
魔物の召喚が絶えず行われ骸の巣窟と化している
召喚士は砦中に呪符を仕掛けており、砦を攻め
落とすにはこれら罠への正確な対処が不可欠だ",
CYCLE_QUEST_INFO_54,ランキング期間,
CYCLE_QUEST_INFO_54ex1,"ジフール砦でのウォーミッションは終了した
各々の戦果については追って報告があるので
それまでは待機とする",
CYCLE_QUEST_INFO_54ex2,"ジフール砦でのウォーミッションは終了した
各々の戦果については追って報告があるので
それまでは待機とする",
,戦果報酬配分中,War Result Reward Distribution
,"展望城にいるウォルトより、各個人の戦果に
伴う報酬を受け取ることが出来る
特別な報酬には受け取るための条件や上限数が
あるため、貢献具合に応じた品物を選ぶように",
,"展望城にいるウォルトより、各個人の戦果に
伴う報酬を受け取ることが出来る
特別な報酬には受け取るための条件や上限数が
あるため、貢献具合に応じた品物を選ぶように",
