key,old,new
net_signout_return_l,"認証サーバーとの接続が切れました
ランチャーに戻ります","The connection with the authentication server has expired.
Exiting to the launcher."
net_non_connect_lan_return_l_common,"インターネットへの接続が確認できません
インターネット接続が切断されたか、
接続されていない可能性があります

このゲームをプレイするにはインターネットへの
接続が必要となりますので接続状況をご確認ください
ランチャーを再起動いたします","Cannot reach the internet server.
Check to make sure the internet connection has
not been disconnected or unplugged.

To play this game,
an internet connection is required.
Restarting the launcher now."
net_network_cancel_return_l_common,"ネットワークの開始がキャンセルされました
ランチャーに戻ります","Connection to the servers cancelled.
Exiting to the launcher."
net_network_ng_return_l_common,"ネットワークの開始に失敗しました
ランチャーに戻ります","Cannot connect.
Exiting to the launcher."
net_network_error_common,通信エラーが発生しました,A communication error has occurred.
net_network_error_return_t_common,"通信エラーが発生しました
タイトル画面に戻ります","A communication error has occurred.
Returning to the title screen."
net_network_error_return_l_common,"通信エラーが発生しました
ランチャーに戻ります","A communication error has occurred.
Exiting to the launcher."
net_server_error_common,サーバーとの接続に失敗しました,Failed to connect to the server.
net_server_error_return_l_common,"サーバーとの接続に失敗しました
ランチャーに戻ります","Failed to connect to the server.
Exiting to launcher."
net_server_error_return_t_common,"サーバーから切断されました
タイトル画面に戻ります","Failed to connect to the server.
Returning to the title screen."
net_login_error_common,ログインに失敗しました,Failed to login.
net_login_error_return_l_common,"ログインに失敗しました
ランチャーに戻ります","Failed to login.
Exiting to the launcher."
net_server_error_back_t_common,"サーバーから切断されました
タイトル画面に戻ります","Failed to connect to the server.
Returning to the title screen."
net_server_timeout_back_t_common,"サーバーとの接続がタイムアウトになりました
タイトル画面に戻ります","The connection with the server has timed out.
Returning to the title screen."
net_version_error_back_l_common,"更新データが見つかりました
アップデートする必要がありますので
ランチャー画面へ戻ります","An update to the game is available.
Updating to the latest version is required.
Exiting to the launcher."
net_autologout,"長時間、操作が行われなかったため
サーバーとの接続が切断されました
タイトル画面に戻ります","Due to prolonged inactivity, the connection
to the server has been disconnected.
Returning to the title screen."
net_signout_return_l_keep,認証サーバーとの接続が切れました,The connection with the authentication server has expired.
net_non_connect_lan_return_l_common_keep,"インターネットへの接続が確認できません
インターネット接続が切断されたか、
接続されていない可能性があります

このゲームをプレイするにはインターネットへの
接続が必要となりますので接続状況をご確認ください","Cannot reach the internet server.
Check to make sure the internet connection has
not been disconnected or unplugged.

To play this game,
an internet connection is required."
net_server_error_return_t_common_keep,サーバーから切断されました,Disconnected from the server.
net_server_error_back_t_common_keep,サーバーから切断されました,Disconnected from the server.
net_server_timeout_back_t_common_keep,サーバーとの接続がタイムアウトになりました,The connection with the server has timed out.
net_autologout_keep,"長時間、操作が行われなかったため
サーバーとの接続が切断されました","Due to prolonged inactivity, the connection
to the server has been disconnected."
net_edit_keep,"サーバーと接続されていないため
これ以上ゲームを進行することができません

現在のエディット情報をPC本体に
セーブすることをオススメします

ゲームを終了するにはエディット(または美容院)の
画面でキャンセル操作をおこなってください","Due to a disconnection from the server,
the game cannot proceed.

It is recommended that you save edits
you have performed.

After completing edits,
please perform the cancel operation on the screen."
net_error_contents_reload,,
