key,old,new
ORDER_CONDITION_988,無し,None
ORDER_CONDITION_989,全ジョブのいずれかがジョブレベル<QCND 0>以上,Level <QCND 0> in any vocation
ORDER_CONDITION_994,ジョブ限定：<QCND 0>のジョブレベル<QCND 1>以上,"Vocation restriction: <QCND 0>, at least level <QCND 1>"
ORDER_CONDITION_995,パーティープレイ不可（ポーン同行不可）,No party members (pawns not allowed)
ORDER_CONDITION_996,無し,None
ORDER_CONDITION_997,無し,None
ORDER_CONDITION_998,メインクエスト＜<QCND 0>＞をクリア,"Clear Main Quest ""<QCND 0>"""
ORDER_CONDITION_999,パーソナルクエスト＜<QCND 0>＞をクリア,"Clear Personal Quest ""<QCND 0>"""
ORDER_CONDITION_1000,エクストリームミッション＜<QCND 0>＞をクリア,"Clear Extreme Mission ""<QCND 0>"""
ORDER_CONDITION_993,<QCND 0>のエリアランク<QCND 1>以上,Area rank for <QCND 0> at least <QCND 1>
ORDER_CONDITION_1003,パーティープレイ不可（ポーン同行可）,No party members (pawns allowed)
ORDER_CONDITION_1004,白竜神殿レンテンから覚者の戦術試練を学ぶ,Learn about the Arisen's tactics trial from Renton in the White Dragon Temple
ORDER_CONDITION_1005,イリスから十分な装備の準備方法について学ぶ,Learn how to prepare adequate equipment from Iris
ORDER_CONDITION_1007,無し,None
ORDER_CONDITION_1008,パーティー内にパートナーポーンがいる,Partner Pawn in party
ORDER_CONDITION_1010,無し,None
ORDER_CONDITION_1011,装備のアイテムランクが<QCND 0>以上（平均IR）,Item Rank of <QCND 0> or more (average IR)
ORDER_CONDITION_1012,アイテム＜<QCND 0>＞を<QCND 1>個所持,
ORDER_CONDITION_1014,パーティプレイ不可（メインポーン<QCND 0>人同行可）,No party members (<QCND 0> main pawn allowed)
ORDER_CONDITION_1015,ワールドクエスト＜<QCND 0>＞をクリア,"Clear World Quest ""<QCND 0>"""
ORDER_CONDITION_1016,サブストーリー＜<QCND 0>＞をクリア,"Clear Substory ""<QCND 0>"""
ORDER_CONDITION_1017,現在のジョブのジョブレベル<QCND 0>以上,Current Job Level <QCND 0> or more
