old,new
"塔の外からお越しとは――
用があるならお聞きしましょう",
"宿泊をご希望なら<VAL PRICE_INN>です
ここは資源が限られていることもあり
旅人に大盤振る舞いというのはできないのです
それでも、よろしいですか？",
はい,Yes
いいえ,No
"今は寝床に余裕があります
休みたいなら案内しましょうか？",
はい,Yes
いいえ,No
"《弱化の治療》には
<VAL PRICE_WEAK>いただきますよ
なにぶん、物資も限られていますからね
治療をお望みですか？",
はい,Yes
いいえ,No
"弱化にはなっていませんよ
気のせい、ということです
よろしいですね",
"どうして塔に住んでいるのか、ですか？
我らは守っているのです
この塔に住むことで――",
"何を守っているのかは――
長老のベレナスにでもお聞きください
我らは祖先より代々、この塔にて“守る”ために
ここにいると聞かされています",
"きっとダナの住人たちは
彼らの武勇が村を守っていると
思っているでしょうね",
"私に言わせれば、ダナの侵食が
比較的ゆるやかなのは
村の位置が関係しているだけです",
"この場は私が取りまとめていますが
この《イヴァノスの塔》の成り立ちについては
長老のベレナスに聞いてください",
"彼が素直に話すとは思えませんが――
私たちですら、いつも煙に巻かれるのです",
