key,old,new
PLAY_PURPOSE_MAIN_001,とくになし,None
PLAY_PURPOSE_MAIN_002,レベルあげ,Level up
PLAY_PURPOSE_MAIN_003,お金を稼ぐ,Make money
PLAY_PURPOSE_MAIN_004,素材集め,Gather materials
PLAY_PURPOSE_MAIN_005,オーブエネミーを倒す,Defeat Blood Orb enemies
PLAY_PURPOSE_MAIN_006,イベントで遊ぶ,Play events
PLAY_PURPOSE_MAIN_007,大目的予備,general purpose reserve
PLAY_PURPOSE_MAIN_008,大目的予備,general purpose reserve
PLAY_PURPOSE_MAIN_009,大目的予備,general purpose reserve
PLAY_PURPOSE_MAIN_010,大目的予備,general purpose reserve
PLAY_PURPOSE_MAIN_011,大目的予備,general purpose reserve
PLAY_PURPOSE_AREA_001,冒険エリア＜ハイデル平原＞,"Adventure in ""Hidell Plains"""
PLAY_PURPOSE_AREA_002,冒険エリア＜ブリア海岸＞,"Adventure in ""Breya Coast"""
PLAY_PURPOSE_AREA_003,冒険エリア＜ミスリウ森林＞,"Adventure in ""Mysree Forest"""
PLAY_PURPOSE_AREA_004,冒険エリア＜ミスリウ森林深部＞,"Adventure in ""Mysree Grove"""
PLAY_PURPOSE_AREA_005,冒険エリア＜ダウ渓谷＞,"Adventure in ""Dowe Valley"""
PLAY_PURPOSE_AREA_006,冒険エリア＜ボルド鉱山＞,"Adventure in ""Volden Mines"""
PLAY_PURPOSE_AREA_007,冒険エリア＜バートランド平原＞,"Adventure in ""Betland Plains"""
PLAY_PURPOSE_AREA_008,冒険エリア＜バートランド平原北部＞,"Adventure in ""Northern Betland Plains"""
PLAY_PURPOSE_AREA_009,冒険エリア＜ディナン深層林＞,"Adventure in ""Deenan Woods"""
PLAY_PURPOSE_AREA_010,冒険エリア＜ザンドラ東部＞,"Adventure in ""Eastern Zandora"""
PLAY_PURPOSE_AREA_011,冒険エリア＜ザンドラ禁域＞,"Adventure in ""Zandora Wastelands"""
PLAY_PURPOSE_AREA_012,冒険エリア＜亡都メルゴダ＞,"Adventure in ""Mergoda Ruins"""
PLAY_STYLE_001,指定なし,Unspecified
PLAY_STYLE_002,まったりあそぼう,Laid-back play
PLAY_STYLE_003,戦闘大好き,Love combat
PLAY_STYLE_004,お金大好き,Love money
PLAY_STYLE_005,クエスト攻略大好き,Love completing quests
PLAY_STYLE_006,ミッション攻略大好き,Love completing missions
PLAY_STYLE_007,限定イベント大好き,Love limited events
PLAY_STYLE_008,シナリオ大好き,Love scenarios
PLAY_STYLE_009,クラフト大好き,Love crafting
PLAY_STYLE_010,ランキング大好き,Love ranking
PLAY_STYLE_011,アタッカーでプレイしています！,Have to play attacker!
PLAY_STYLE_012,タンクでプレイしています！,Have to play tank!
PLAY_STYLE_013,ヒーラーでプレイしています！,Have to play healer!
PLAY_STYLE_014,複数のジョブでプレイしています！,Have to play multiple jobs!
PLAY_STYLE_015,ポーンを混ぜてパーティーを組もう,Enjoy Player/Pawn mixed party
PLAY_STYLE_016,朝方中心プレイ,Play in the morning
PLAY_STYLE_017,昼型中心プレイ,Play in the noon
PLAY_STYLE_018,夜型中心プレイ,Play in the evening
PLAY_STYLE_019,いつでもプレイ,Play at any time
PLAY_STYLE_020,平日中心プレイ,Play on weekdays
PLAY_STYLE_021,週末中心プレイ,Play on weekends
PLAY_STYLE_022,休日中心プレイ,Play on holidays
PLAY_STYLE_023,毎日プレイ,Play every day
PLAY_STYLE_024,不定期にコツコツプレイ,Play occasionally
PLAY_STYLE_025,フレンド募集中,Want friends
PLAY_STYLE_026,クランに入りたい,Want a clan
PLAY_STYLE_027,クランメンバー募集中,Want clan members
PLAY_STYLE_028,グループチャットに入りたい,Want to join group chat
PLAY_STYLE_029,スタイル予備,style reserve
PLAY_STYLE_030,スタイル予備,style reserve
PLAY_STYLE_031,スタイル予備,style reserve
PLAY_STYLE_032,スタイル予備,style reserve
PLAY_STYLE_033,スタイル予備,style reserve
