key,old,new
album_msg_header_j,プレビュー,Preview
album_msg_header_e,Photo Preview,Photo Preview
album_msg_category,Category,Category
album_msg_photo_num,アルバム保存枚数：,Number of albums saved:
album_msg_title_j,アルバム,Album
album_msg_title_e,Photo Album,Photo Album
album_msg_enfullsize,全画面表示,Fullscreen
album_msg_date,<DATE>,<DATE>
album_msg_separation,/,/
album_msg_time,<TIME>,<TIME>
album_msg_num,<VAL>,<VAL>
album_msg_conf_delete,写真を削除します。よろしいですか？,Deleting photo. Are you sure?
album_msg_photo_up,写真の投稿,Submit Photo
album_msg_non_photo_up,撮影された写真がないため、投稿できません,No photos taken and therefore cannot be submitted
