key,old,new
CLAN_SHOP_LINEUP_ID_18,"クランエンブレムの入ったフラッグを
掲げられるようになります","You will be able to hoist a flag
with the clan's emblem on it."
CLAN_SHOP_LINEUP_ID_19,"クラン拠点１階の大広間に入れるようになる
クランクエストの高難易度ボードが設置されます","You can access the first floor of the Clan Hall.
Sets up a ""High Difficulty Clan Quests"" board."
CLAN_SHOP_LINEUP_ID_20,"クラン拠点２階に
行くことができるようになります",You can access the second floor of the Clan Hall.
CLAN_SHOP_LINEUP_ID_21,"クラン拠点にある隠し部屋に
入れるようになります
",Reveal a hidden room at the Clan Hall.
CLAN_SHOP_LINEUP_ID_22,ポーン遠征隊が解放されます,Unlocks the Pawn Expedition.
CLAN_SHOP_LINEUP_ID_23,"ボルド鉱山に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to the Volden Mines."
CLAN_SHOP_LINEUP_ID_24,"ダウ渓谷に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to Dowe Valley."
CLAN_SHOP_LINEUP_ID_25,"ミスリウ森林深部に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
deep into the Mysree Forest."
CLAN_SHOP_LINEUP_ID_26,"ディナン深層林に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
deep into Deenan Woods."
CLAN_SHOP_LINEUP_ID_27,"バートランド平原に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to the Betland Plains."
CLAN_SHOP_LINEUP_ID_28,"バートランド平原北部に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to the Northern Betland Plains."
CLAN_SHOP_LINEUP_ID_29,"ザンドラ東部に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to Eastern Zandora."
CLAN_SHOP_LINEUP_ID_30,"ザンドラ禁域に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to the Zandora Wastelands."
CLAN_SHOP_LINEUP_ID_31,"亡都メルゴダに
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to the Mergoda Ruins."
CLAN_SHOP_LINEUP_ID_32,"魔赤島に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to Bloodbane Isle."
CLAN_SHOP_LINEUP_ID_33,"エラン水林に
ポーン遠征隊を派遣できるようになります","You will be able to dispatch the Pawn Expedition
to Elan Water Grove."
