#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,q40000124_00_124,森に潜む危機,In the Forest,ui\00_message\quest_info\q40000124_00.gmd,\quest\q40000124.arc,q40000124.arc,0
1,q40000124_00_124,"ミスリウ森林には遺跡や洞窟なんかも結構あるが、そういう所は<LQEM>なんかの巣になることも多い
あいつらは群れると厄介だ。もし腕に覚えがあるなら、<LQVA>匹程度仕留めてくれ。報酬も多少は出すとも","ミスリウ森林には遺跡や洞窟なんかも結構あるが、そういう所は<LQEM>なんかの巣になることも多い
あいつらは群れると厄介だ。もし腕に覚えがあるなら、<LQVA>匹程度仕留めてくれ。報酬も多少は出すとも",ui\00_message\quest_info\q40000124_00.gmd,\quest\q40000124.arc,q40000124.arc,1
0,q40000125_00_125,まずいヤツ目撃情報,Eyewitness,ui\00_message\quest_info\q40000125_00.gmd,\quest\q40000125.arc,q40000125.arc,0
1,q40000125_00_125,"神殿にも報告したが、こっちでも知らせておく
村近くの川辺で<LQEM>を見たんだ
もしヤツが村を襲ったら大変だ。俺は村を守るから、誰か近くを探って野郎を退治してきてくれ
ちなみに、その時見たのは<LQVA>匹だったぜ","神殿にも報告したが、こっちでも知らせておく
村近くの川辺で<LQEM>を見たんだ
もしヤツが村を襲ったら大変だ。俺は村を守るから、誰か近くを探って野郎を退治してきてくれ
ちなみに、その時見たのは<LQVA>匹だったぜ",ui\00_message\quest_info\q40000125_00.gmd,\quest\q40000125.arc,q40000125.arc,1
0,q40000126_00_126,採取の邪魔者,A Thievery,ui\00_message\quest_info\q40000126_00.gmd,\quest\q40000126.arc,q40000126.arc,0
1,q40000126_00_126,"俺がマークしてる秘密の採取場所近くに、<LQEM>が<LQVA>匹うろつくようになってさ
ちーっとばかし難儀してるんだよな
お代は出すからさ、何とかしてくれないか？","俺がマークしてる秘密の採取場所近くに、<LQEM>が<LQVA>匹うろつくようになってさ
ちーっとばかし難儀してるんだよな
お代は出すからさ、何とかしてくれないか？",ui\00_message\quest_info\q40000126_00.gmd,\quest\q40000126.arc,q40000126.arc,1
0,q40000127_00_127,庭の侵入者,Fenced Off,ui\00_message\quest_info\q40000127_00.gmd,\quest\q40000127.arc,q40000127.arc,0
1,q40000127_00_127,"実は少し、困っているの。――というのも、<LQEM>が私の庭を踏み荒らすのよ
親切な方、<LQVA>匹程度見つけ出して、息の根を止めておいてくれないかしら
うふふ、よろしくお願いね","実は少し、困っているの。――というのも、<LQEM>が私の庭を踏み荒らすのよ
親切な方、<LQVA>匹程度見つけ出して、息の根を止めておいてくれないかしら
うふふ、よろしくお願いね",ui\00_message\quest_info\q40000127_00.gmd,\quest\q40000127.arc,q40000127.arc,1
0,q40000128_00_128,白翼覚者隊・協力要請　ミスリウ森林,White Wings: Cooperation (Mysree Forest),ui\00_message\quest_info\q40000128_00.gmd,\quest\q40000128.arc,q40000128.arc,0
1,q40000128_00_128,"現地滞在中の覚者様に、神殿より通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力をお願いします","現地滞在中の覚者様に、神殿より通達です
近年任地にて<LQEM>が増えつつあるとの報告が上がっております。可能であれば任務の合間で構いませんので、<LQVA>体ほどの討伐にご協力をお願いします",ui\00_message\quest_info\q40000128_00.gmd,\quest\q40000128.arc,q40000128.arc,1
0,q40000129_00_129,白翼覚者隊・討伐任務　ミスリウ森林,White Wings: Elimination (Mysree Forest),ui\00_message\quest_info\q40000129_00.gmd,\quest\q40000129.arc,q40000129.arc,0
1,q40000129_00_129,"現地滞在中の覚者様に、神殿より通達です
任地にて<LQEM>を確認した場合、地域安全維持のため各自<LQVA>体以上の討伐を願いします","現地滞在中の覚者様に、神殿より通達です
任地にて<LQEM>を確認した場合、地域安全維持のため各自<LQVA>体以上の討伐を願いします",ui\00_message\quest_info\q40000129_00.gmd,\quest\q40000129.arc,q40000129.arc,1
0,q40000130_00_130,＜エリアオーダー＞ミスリウ魔物征伐,Area Order: Mysree Demon Extermination,ui\00_message\quest_info\q40000130_00.gmd,\quest\q40000130.arc,q40000130.arc,0
