key,old,new
char_sel_index_en,Character Select,Character Select
char_sel_index_jp,キャラクター選択,Character Select
char_sel_status,Status,Status
char_sel_profile,Profile,Profile
char_sel_delete,キャラクターの削除,Delete
char_sel_del_chara_select,"削除するキャラクターを選択してください
削除したキャラクターは二度と復活できません","Please select the character to be deleted.
The deleted character cannot be restored."
char_sel_del_info,<COL ffdc78>未使用の黄金石や<OPCS>等もすべて失われます</COL>,"<COL ffdc78>All Golden Gemstones, <OPCS>, etc are also lost.</COL>"
char_sel_code_text,確認コード <COL AA1414><VAL></COL> を入力してください,Please enter the confirmation code <COL AA1414><VAL></COL>.
char_sel_code,確認コード：,Confirmation Code:
char_sel_decide,決定,OK
char_sel_cancel,キャンセル,Cancel
char_sel_del,削除,Delete
char_sel_plz_wait,しばらくお待ちください,Please wait.
char_sel_del_alert,を削除します,Will Delete
char_sel_del_finish,キャラクターの削除が完了しました,Character deletion is complete.
char_sel_del_error,確認コードが間違っています,The confirmation code is incorrect.
char_sel_bonus,Course,Course
char_sel_no_bonus,発動中の<OPCS>はありません,There is no <OPCS> currently active.
char_sel_fourwords,（半角英数4文字）,(4 alphanumeric chars)
char_sel_announce_charover,キャラクター作成上限です,You have the maximum amount of characters.
char_sel_add_newchar,新規作成,Create
char_sel_button_zoom,モデル回転<PADM> / ズーム</PADM>,Rotate<PADM>  / Zoom</PADM>
char_sel_button_rota,カメラ操作,Camera
char_sel_button_clan_notice,クランへの通知設定,Clan Notification Setting
char_sel_affiliation_clan,所属クラン,Affiliated Clan
char_sel_clan_notice_info,クランメンバーへ自分のステータスを通知する,Provide Status to Your Clan
char_sel_on,ON,ON
char_sel_off,OFF,OFF
char_sel_clan_notice_conf,"クランメンバーへ自分のステータスを通知しますか？
※この項目はゲーム設定からいつでも変更できます","Would you like to send your status to clan
members?
※This can be changed any time from the game settings."
char_sel_clan_notice_conf_yes,通知を行う,Notify
char_sel_clan_notice_conf_no,通知を行わない,Do not notify
