"MsgJp","MsgEn"
"おお！　覚者さま
あなたにお伝えすべきことがあったのです
それは覚者の同盟、《クラン》について――","Ohh! Arisen, something you should know.
Groups of Arisen will gather in 'Clans'..."
"あなたの旅は、ポーンだけでなく
志をともにする覚者のお仲間がいれば
さらに豊かになりましょう","Your journey will be richer not only with Pawns,
but also with fellow Arisen who share your ideals."
"絆を育む場、《クラン酒場》で詳しい話が
聞けるはずです
まずはその主、キビザとお会い下さい","You can hear the details at the 'Clan Tavern,'
a place to nurture the bonds between Arisen.
First, go meet the owner Kibiza."
"《クラン酒場》は宿場区の奥にございます
では、覚者さまの前途に友と幸のあらんことを","The 'Clan Tavern' is deep in the inn district.
May friends and fortune grace your path,
Ser Arisen."
"キビザの《クラン酒場》へようこそ！
おや、君は最近入った噂の新人覚者さんだね？","Welcome to Kibiza's 'Clan Tavern!' 
Oh, you must be the new Arisen
that I've heard about lately?"
"では《クラン》について簡単に説明しておこう
《クラン》とは、覚者同士の同盟団さ
一緒に旅する仲間や、気の合う覚者を探せるよ","Let me briefly explain what a 'Clan' is.
Clans are alliances through which
an Arisen can find friends
or like-minded others to travel with."
"同じクランのメンバー同士なら
専用《チャット》や《メール》で連絡を取り合えるし
《ポーン》の雇用リムがかなり安くなるんだ
これも覚者の絆ってやつなのかな？","Clan members can communicate via dedicated 'Chat'
or 'Mail' and hire Pawns at a lower Rift cost. 
Perhaps this shows the bond between Arisen?"
"――で、肝心の参加方法だが
君がクランマスターとなってクランを作成する方法と
すでにあるクランに参加申請する２通りあるよ","...Now the crucial part how to join.
You can either create a Clan as its leader
or apply to join an existing one."
"クランを自分で作る場合は
わしに話し、《クラン設立》を選んでくれ
その後で必要事項を登録すれば、完了だ","To create a Clan,
speak to me and select 'Found Clan'
then fill out the required details
to complete the application."
"すでにあるクランに参加する場合は
《クラン検索》を選んでくれ
加入を希望するクランがあれば参加申請するといい
クラン側が認めれば、晴れてメンバーさ","To join an existing Clan select 'Clan Search'
If you find a Clan you like apply to join.
Once it is approved you'll become a member."
"じゃ、良ければどんなクランが
あるかだけでものぞいていってくれよ
手続きはいつでも歓迎さ","Well, feel free to browse the Clans.
We welcome your application any time!"
"《クラン酒場》は宿場区の奥にございます
では、覚者さまの前途に友と幸のあらんことを","The 'Clan Tavern' is deep in the inn district.
May friends and fortune grace your path,
Ser Arisen."
"【ヒント：クラン解放】","【Hint: Clan Unlock】"
"《クラン》解放クエストが受注可能になりました","The 'Clan' Unlock quest is now available!"
"竜の礎付近にいるフレディ―に話しかけましょう","Speak to Freddie near the Portcrystal."
