key,old,new
SPOT_NAME_,バートランド平原北部,Northern Betland Plains
SPOT_NAME_,ドラワン,Drawan
SPOT_NAME_,フロックヴァルト大橋,Flocwald Bridge
SPOT_NAME_,砦前・千本棘の陣,Fortress Front: Barbed Line
SPOT_NAME_,地下納骨堂,Underground Crypt
SPOT_NAME_,魔犬養育所,Demon Dog Kennel
SPOT_NAME_,テゴル治水路,Tegor Flood Control Channel
SPOT_NAME_,ガルドノック哨戒地,Gardnox Patrol Area
SPOT_NAME_,戦鬼の陣屋,War Demons' Encampment
SPOT_NAME_,旧騎士団資材庫,Knights' Old Storehouse
SPOT_NAME_,朽ちかけた井戸,Decaying Well
SPOT_NAME_,バートランド地下道,Betland Underground Passage
SPOT_NAME_,ガルドノック砦,Gardnox Fortress
SPOT_NAME_,ガルドノック廃水廊,Gardnox Wastewater Tunnel
