key,old,new
q00000020_00_20,託された未来,The Entrusted Future
q00000020_00_20,さらわれたミシアルを奪還する,"Rescue Mysial, who has been abducted"
q00000020_00_1033,メルゴダ護政区でレオと合流する,Rendezvous with Leo at the Mergoda Security District
q00000020_00_1034,ミシアルを捜す,Search for Mysial
q00000020_00_1591,大扉を開ける手段を探す,Find a way to open the large doors
q00000020_00_1592,錬金研究棟の扉の鍵を探す,Find the key in the Alchemical Research Facility
q00000020_00_1593,入手した鍵で扉を開ける,Open the door with the key you have obtained
q00000020_00_1594,大扉を開ける仕掛けを探して解除する,Find the device to open the huge doors
q00000020_00_1595,開いた大扉の先に向かう,Head through the open huge doors
q00000020_00_1035,イリスを撃破する,Defeat Iris
q00000020_00_1036,謁見の間のジョゼフに経緯を報告する,Report back to Joseph in the Audience Chamber
