"key","old","new"
"item_restore_title","Item Restoration","Item Restoration"
"item_restore_title_sub","アイテム復元","Item Restoration"
"item_restore_header01","アイテム","Item"
"item_restore_header02","復元費用","Restoration cost"
"item_restore_dialog_01","捨てた、または売却してしまった
<COL ffdc78>特定のアイテム</COL>を復元できます

復元前のアイテムパラメータは
正常な値が反映されていないことがあります
復元することでパラメータも正常な値に復元されます","Restore a <COL ffdc78>specific item</COL> that you have discarded or sold.

The parameters of the item before restoration may not reflect the correct values, but they will be restored to their proper values upon restoration."
"item_restore_dialog_01_01","復元可能な特定アイテムを確認する","Check for recoverable specific items."
"item_restore_dialog_01_02","---","---"
"item_restore_dialog_02","以下の内容で復元します。よろしいですか？

　アイテム：<NAME ITEM>
　復元費用：<VAL GOLD>","Are you sure you want to restore with the following details? 

Item: <NAME ITEM> 
Cost: <VAL GOLD>"
"item_restore_dialog_02_01","アイテムバッグに復元する","Restore in Item Bag"
"item_restore_dialog_02_02","保管ボックスに復元する","Restore to Storage Box"
"item_restore_dialog_02_03","格納チェストに復元する","Restore to Storage Chest"
"item_restore_dialog_02_err01","費用が足りません","Insufficient funds"
"item_restore_dialog_02_err02","アイテム枠がいっぱいです","The box is full."
"item_restore_announce_01","アイテムを復元しました","Item restored."
"item_restore_item0","復元可能なアイテムがありません","There are no restorable items"
