"key","old","new"
"ds_fusion_msg_000","Dragon Ability Synthesis","Dragon Ability Synthesis"
"ds_fusion_msg_001","ドラゴンアビリティの合成","Synthesis of Dragon Abilities"
"ds_fusion_msg_002","ドラゴンアビリティの合成元となる装備を選択してください","Please select the equipment that will be used as the synthesis material for Dragon Abilities."
"ds_fusion_msg_003","クラフトで★4に強化済み
または合成済みのため選択できません","Crafted or strengthened to ★4, so it cannot be selected."
"ds_fusion_msg_004","ドラゴンアビリティの合成素材となる装備を選択してください","Please select the equipment that will be used as the synthesis material for Dragon Abilities."
"ds_fusion_msg_005","ドラゴンアビリティの合成素材となる装備を選択してください","Please select the equipment that will be used as the synthesis material for Dragon Abilities."
"ds_fusion_msg_006","ドラゴンアビリティの合成素材となる装備を選択してください","Please select the equipment that will be used as the synthesis material for Dragon Abilities."
"ds_fusion_msg_007","ドラゴンアビリティの合成素材となる装備を選択してください","Please select the equipment that will be used as the synthesis material for Dragon Abilities."
"ds_fusion_msg_008","ドラゴンアビリティが「0」のため選択できません","Cannot be selected because the Dragon Ability is ""0""."
"ds_fusion_msg_009","Synthesis Source","Synthesis Source"
"ds_fusion_msg_010","Synthetic Material","Synthetic Material"
"ds_fusion_msg_011","黒竜装備","Black Dragon Equipment"
"ds_fusion_msg_012","精霊竜装備","Spirit Dragon Equipment"
"ds_fusion_msg_013","火竜装備","Fire Dragon Equipment"
"ds_fusion_msg_014","白竜装備","White Dragon Equipment"
"ds_fusion_msg_015","黄金竜装備","Golden Dragon Equipment"
"ds_fusion_msg_016","選択してください","Please select"
"ds_fusion_msg_017","合成結果の確認","Confirmation of synthesis results"
"ds_fusion_msg_018","合成結果の確率","Probability of synthesis results"
"ds_fusion_msg_019","合成開始","Start synthesis"
"ds_fusion_msg_020","合成を開始します。よろしいですか？","Synthesis will be started. Are you sure?"
"ds_fusion_msg_021","すべての装備アイテムがセットされていません","Not all equipment items are set"
"ds_fusion_msg_022","合成完了しました","Synthesis complete"
"ds_fusion_msg_023","対象となるアイテムを所持していません","You do not currently possess the required item."
"ds_fusion_msg_024","現在選択中のアイテムです","Currently selected item"
