key,old,new
CLAN_KYOTEN_MSG_EXT_SUB_TITLE,拠点拡張,Hall Expansion
CLAN_KYOTEN_MSG_EXT_TITLE,Base Extention,Hall Expansion
CLAN_KYOTEN_MSG_EXT_ITEM,拡張項目,Expansion Item
CLAN_KYOTEN_MSG_EXT_PRICE,価格,Price
CLAN_KYOTEN_MSG_EXT_BOUGHT,購入済み,Purchased
CLAN_KYOTEN_MSG_EXT_DETAIL,Details,Details
CLAN_KYOTEN_MSG_EXT_CONDITION,購入条件,Purchase Requirements
CLAN_KYOTEN_MSG_EXT_NEED_LV,クラン<VAL LV>以上,Clan <VAL LV> or more
CLAN_KYOTEN_MSG_EXT_BOUGHT_FUNC_NOTICE,"<VAL>を購入しました
次回、クラン拠点へ訪れた時に反映されます","Purchased <VAL>
It'll be visible next time you visit the Clan Hall."
CLAN_KYOTEN_MSG_EXT_BOUGHT_PAWN_EXPEDITION,ポーン遠征隊を解放しました,Purchased Pawn Expedition Corps
CLAN_KYOTEN_MSG_EXT_BUY_FUNC_CONFIRM,"以下を購入します。よろしいですか？
　拡張項目：<VAL>
　購入価格：<VAL CP>","Are you sure you want to purchase the following?
Extension Item: <VAL>
Cost: <VAL CP>"
CLAN_KYOTEN_MSG_EXT_NEED_ITEM,<VAL>の解放,Purchased <VAL>
CLAN_KYOTEN_MSG_EXT_BUFF_EFFECT,支援効果,Support Effect
CLAN_KYOTEN_MSG_EXT_ACTIVE,発動中,Active
CLAN_KYOTEN_MSG_EXT_BUY_BUFF_CONFIRM,"以下を購入します。よろしいですか？
　支援効果：<VAL>
　購入価格：<VAL CP>","Are you sure you want to purchase the following?
Support Effect: <VAL>
Cost: <VAL CP>"
CLAN_KYOTEN_MSG_EXT_BOUGHT_BUFF_NOTICE,"<VAL>を発動しました
本日のポーン遠征隊の派遣に反映されます","Activated <VAL>
It will be visible in the dispatch of today's Pawn Expedition Corps."
CLAN_KYOTEN_MSG_EXT_ERR_ALREADY_BOUGHT,すでに購入済みです,Already purchased
CLAN_KYOTEN_MSG_EXT_ERR_NO_AUTHORITY,クランポイントを使用する権限が与えられていません,You are not authorized to spend Clan Points.
CLAN_KYOTEN_MSG_EXT_ERR_NOT_ENOUGH_CONDITION,購入条件が満たされていません,Purchase requirements have not been met.
CLAN_KYOTEN_MSG_EXT_ERR_NOT_ENOUGH_CP,クランポイントが足りません,Insufficient Clan Points
CLAN_KYOTEN_MSG_EXT_ERR_ALREADY_ACTIVE,すでに発動中の効果です,Already activated.
CLAN_KYOTEN_MSG_EXT_BUFF_TITLE,Pawn Expedition Support,Pawn Expedition Support
CLAN_KYOTEN_MSG_EXT_BUFF_SUB_TITLE,ポーン遠征隊支援,Pawn Expedition Support
CLAN_KYOTEN_MSG_EXT_CONCIERGE_TITLE,Clan Office Officer,Clan Officer
CLAN_KYOTEN_MSG_EXT_CONCIERGE_SUB_TITLE,クラン執務官,Clan Officer
CLAN_KYOTEN_MSG_EXT_CONCIERGE,スタッフ,Staff
CLAN_KYOTEN_MSG_EXT_ERR_NOT_CHANGE_AUTHORITY,変更する権限がありません,You do not have permission to change it.
CLAN_KYOTEN_MSG_EXT_ERR_ALREADY_SET,すでに設定されています,Already set.
CLAN_KYOTEN_MSG_EXT_CATEGORY_BUFF,ポーン遠征隊支援,Pawn Expedition Corps Support
CLAN_KYOTEN_MSG_EXT_CATEGORY_EXT,クラン拠点拡張,Clan Hall Extension
CLAN_KYOTEN_MSG_EXT_CATEGORY_PAWN_EXP,ポーン遠征隊拡張,Pawn Expedition Extension
CLAN_KYOTEN_MSG_EXT_APPLY,設定中,Apply Setting
CLAN_KYOTEN_MSG_EXT_BUY_CONCIERGE_CONFIRM,"クラン執務官を変更します。よろしいですか？
　スタッフ：<VAL>
　購入価格：<VAL CP>","Are you sure you want to change the Clan Officer?
Staff: <VAL>
Cost: <VAL CP>"
CLAN_KYOTEN_MSG_EXT_BOUGHT_CONCIERGE_NOTICE,クラン執務官を<VAL>に変更しました,Changed Clan Officer to <VAL>
