key,old,new
CLAN_PROFILE_MOTTO_001,自由がモットーです,Freedom is the motto.
CLAN_PROFILE_MOTTO_002,初心者にやさしく教えます,Kind and informative to beginners.
CLAN_PROFILE_MOTTO_003,メンバーを大切にします,Values its members.
CLAN_PROFILE_MOTTO_004,エンドコンテンツで遊びます,Plays with the endgame content.
CLAN_PROFILE_MOTTO_005,経験者募集,Desires veterans.
CLAN_PROFILE_MOTTO_006,クラフトを頑張ります,Does the best at their craft.
CLAN_PROFILE_MOTTO_007,モットー予備,Motto reserved.
CLAN_PROFILE_MOTTO_008,モットー予備,Motto reserved.
CLAN_PROFILE_MOTTO_009,モットー予備,Motto reserved.
CLAN_PROFILE_MOTTO_010,モットー予備,Motto reserved.
CLAN_PROFILE_DAY_001,毎日,Daily
CLAN_PROFILE_DAY_002,平日,Weekdays
CLAN_PROFILE_DAY_003,週末,Weekend
CLAN_PROFILE_DAY_004,休日,Holidays
CLAN_PROFILE_HOUR_001,いつでも,Any time
CLAN_PROFILE_HOUR_002,朝方中心プレイ,Morning
CLAN_PROFILE_HOUR_003,昼型中心プレイ,Noon
CLAN_PROFILE_HOUR_004,夜型中心プレイ,Evening
CLAN_PROFILE_FEATURE_001,だれでも歓迎,Anyone is welcome
CLAN_PROFILE_FEATURE_002,初心者歓迎,Beginners welcome
CLAN_PROFILE_FEATURE_003,熟練者歓迎,Veterans welcome
CLAN_PROFILE_FEATURE_004,まったり遊ぼう,Laid-back play
CLAN_PROFILE_FEATURE_005,クラン集会あります,Holds clan meetings.
CLAN_PROFILE_FEATURE_006,なりきりプレイ,Free-form play
CLAN_PROFILE_FEATURE_007,雑談大好き,Loves chatting
CLAN_PROFILE_FEATURE_008,チャット不要,Non-chatty
CLAN_PROFILE_FEATURE_009,バトル大好き,Loves Battle
CLAN_PROFILE_FEATURE_010,お金大好き,Loves Money
CLAN_PROFILE_FEATURE_011,シナリオ大好き,Loves scenarios
CLAN_PROFILE_FEATURE_012,クラフト大好き,Loves crafting
CLAN_PROFILE_FEATURE_013,ランキング大好き,Loves ranking up
CLAN_PROFILE_FEATURE_014,クエスト攻略大好き,Loves quest strategies.
CLAN_PROFILE_FEATURE_015,ミッション攻略大好き,Loves mission strategies
CLAN_PROFILE_FEATURE_016,ポーン育成大好き,Loves pawn training
CLAN_PROFILE_FEATURE_017,アチーブ大好き,Loves achievements
CLAN_PROFILE_FEATURE_018,レベルあげ大好き,Loves levelling
CLAN_PROFILE_FEATURE_019,レア素材大好き,Loves rare materials
CLAN_PROFILE_FEATURE_020,オーブエネミーを倒す,Kills Blood Orb enemies
CLAN_PROFILE_FEATURE_021,クラン拠点あります,There are Clan Halls
CLAN_PROFILE_FEATURE_022,ポーン遠征隊で遊ぼう,Plays with Pawn Expedition Corps
CLAN_PROFILE_FEATURE_023,クランダンジョン大好き,Loves Clan Dungeons
CLAN_PROFILE_FEATURE_024,特徴予備,Not Available (Upcoming Feature)
