message/key,message/old,message/new
np_msg_icon_new,最近公開,Recently Published
np_msg_icon_recommended,ボーナス,Bonus
np_msg_icon_party,PT推奨,Party
np_msg_menutitle_area,エリア選択メニュー,Area Select Menu
np_msg_text_area,エリア選択,Area Select
np_msg_category_news,本日のパーティーボーナス,Today's Party Bonus
np_msg_fit,推奨,Recommendation
np_msg_lv,LV.,LV.
np_msg_heard,目撃文,Sighting Report
np_msg_reward,初回報酬,Initial Reward
np_msg_limit,<DATE> まで,Until <DATE>
np_msg_sercret_reward,未公開報酬,Hidden Reward
np_msg_reward_rim,<VAL RIM>,<VAL RIM>
np_msg_reward_g,<VAL GOLD>,<VAL GOLD>
np_msg_reward_exp,<VAL XP>,<VAL XP>
np_msg_nothing,---,---
np_msg_dialog_jump_check,"<NAME AREA> に転移します
必要リム：<VAL RIM>
所持リム：<VAL RIM>","You will teleport to <NAME AREA>.
Rift Crystal Cost: <VAL RIM>
Rift Crystal Total: <VAL RIM>"
np_msg_dialoig_jump_norim,"リムが不足しています
必要リム：<VAL RIM>
所持リム：<VAL RIM>","You do not have enough Rift Crystals.
Rift Crystal Cost: <VAL RIM>
Rift Crystal Total: <VAL RIM>"
np_msg_decision_decide,決定,OK
np_msg_decision_cansel,キャンセル,Cancel
np_msg_article_event,イベント情報,Event Information
np_msg_title,レスタニアニュース,Lestania News
np_msg_guid_others,他のイベント情報,Other Event Information
np_msg_state_partin,参加中,Participating
np_msg_state_nopartin,参加受付中,Accepting Participants
np_msg_subtitle_event,イベント情報,Information
np_msg_tab_ranking,ランキング,Ranking
np_msg_rab_reward,報酬,Rewards
np_msg_pt,pt,pt
np_msg_ranking,ランキング,Ranking
np_msg_name,名前,Name
np_msg_clan,クラン,Clan
np_msg_reward_boarder,累計スコア報酬,Total Score Rewards
np_msg_reward_ranking,ランキング報酬,Ranking Reward
np_msg_rate,<VAL>,<VAL>
np_msg_rate_period,<VAL>位～<VAL>位,<VAL>th to <VAL>th
np_msg_noreward,報酬なし,No Reward
np_msg_update,集計日: <DATE>,Scored: <DATE>
np_msg_starting,開始直後,Started
np_msg_hoursago,<VAL> 時間前,<VAL> hours ago
np_msg_term,<DATE> - <DATE>,<DATE> - <DATE>
np_msg_pt_period,<VAL>pt  - <VAL>pt,<VAL>pt - <VAL>pt
np_msg_icon_ending,終了直前,Ending
np_msg_noquickpt,新聞クイックパーティは現在利用できません,Newspaper Quick Party is currently unavailable.
np_msg_mypoint,スコア,Score
np_msg_area_select,Area Select,Area Select
np_msg_condition,状況,Conditions
np_msg_period,配信期間,Event Time
np_msg_period_start,<DATE> から,From <DATE>
np_msg_period_end,<DATE> まで,until <DATE>
np_msg_rank,位,Rank
np_msg_abst,概要,Overview
np_msg_entry_point,参加場所,Entry Location
np_msg_reward_info,ハイスコア報酬例,High Score Example Rewards
np_msg_func_disable,この機能は現在使用できません,This function is currently unavailable
np_msg_ability_reward,アビリティ：,Augment: 
np_msg_total,Total,Total
np_msg_no_ranking,現在ランキングは発表されていません,Current rankings have not been published
np_msg_no_quest,現在クエストの配信はありません,No quests are currently available.
np_msg_dailybonus,"■<COL ffdc78>《本日のパーティーボーナス》</COL>詳細

＜ボーナス発生条件＞
　・対象のワールドクエストを他のプレイヤーと
　　パーティーを組んで<VAL>回クリア
　　（ポーンとの混成パーティーＯＫ）

＜ボーナス内容＞
　・クエスト報酬（XP/G/R/AP）にボーナス倍率
　・レベルや進行度の差による報酬ペナルティ無効

　※対象クエストはデイリーで変化します
　※各クエストの受注画面、ログの報酬欄にて
　　ボーナス詳細が確認できます","■ <COL ffdc78>""Today's Party Bonus""</COL> Details

Bonus Condition:
　・Complete the target World Quest with other
　　players. With a full party, clear the
　　quest <VAL> times.
　　(Hybrid party with player and pawn is OK)

Bonus Content:
　・The quest reward (XP/G/R/AP) will be
　　increased.
　・The bonus may be penalized/disabled if
　　level difference is high/quests are not
　　on the same progress.

　※Target quest will change daily.
　※Within the quest log, you can check the
　　details of the bonuses."
np_msg_dailybonus_bo,"■<COL ffdc78>《本日のパーティーボーナス》</COL>詳細

＜ボーナス発生条件＞
　・対象のワールドクエストを他のプレイヤーと
　　パーティーを組んで<VAL>回クリア
　　（ポーンとの混成パーティーＯＫ）

＜ボーナス内容＞
　<COL ffdc78>★本日は《ブラッドオーブ</COL><VAL BO><COL ffdc78>》追加！</COL>
　・クエスト報酬（XP/G/R/AP）にボーナス倍率
　・レベルや進行度の差による報酬ペナルティ無効

　※対象クエストはデイリーで変化します
　※各クエストの受注画面、ログの報酬欄にて
　　ボーナス詳細が確認できます","■<COL ffdc78>""Today's Party Bonus""</COL> Details

＜Bonus Condition＞
　・Complete the target World Quest with other
　　players. With a full party, clear the
　　quest <VAL> times.
　　(Hybrid party with players and pawns is OK)

＜Bonus Content＞
　<COL ffdc78>★Today, ""</COL><VAL BO><COL ffdc78> Blood Orbs"" will be added!</COL>
　・The quest reward (XP/G/R/AP) will be increased.
　・The bonus may be penalized/disabled if level
　　difference is high/quests are not
　　on the same progress.

　※Target quest will change daily.
　※Within the quest log, you can check the
　　details of the bonuses."
np_msg_guide_partybonus,パーティーボーナス情報,Party Bonus Information
np_msg_just,適正,Aptitude
np_msg_pt_period_more,<VAL>pt 以上,<VAL>pt or more
np_msg_state_preparation,開戦準備中,Preparing
np_msg_state_ranking,戦果分析中,Veteran Analysis
np_msg_state_receiving,報酬配分中,Reward Claim
np_msg_reward_item_num, × , x
np_msg_no_gm,現在開催されていません,Not currently being held
np_msg_event_select,Event Select,Event Select
np_msg_andmore,and more...,and more...
np_msg_order_info,受注条件情報,Accept Conditions
np_msg_header_gm,Grand Mission,Grand Mission
np_msg_header_wm,War Mission,War Mission
np_msg_dp_info_title,ポイント獲得状況,Point Acquisition Status
np_msg_dp_info_name_pos,<UNTN DP>,<UNTN DP>
np_msg_dp_info_name_acc,ウォーミッション累積ポイント,War Mission Accumulated Points
np_msg_dp_info_att_cap,注意事項,Important Note
np_msg_dp_info_att_inf,"<UNTN DP>、ウォーミッション累積ポイントは
次回のコンテンツ開催時にリセットされます","<UNTN DP>, War Mission accumulated points are will be reset at the next time of the next scheduled content event."
np_msg_state_receiving_wm,ランキング確定,Fixed ranking
np_msg_wm_limited_condition_open,期間限定開催！,Held for a limited period of time!
np_msg_mypoint_wm,ウォーミッション累積<UNIT PT>,Cumulative War Mission <UNIT PT>
np_msg_period_01,本作戦進行期間,Main Operation Progress Period
np_msg_period_02,戦果分析期間,Battle Results Analysis Period
np_msg_period_03,報酬配分期間,Reward Distribution Period
