key,old,new
CHAT_COM_246,やあ！,Yo!
CHAT_COM_247,やっほー！,Yahoo!
CHAT_COM_248,久しぶり！,Long time no see!
CHAT_COM_249,何からやろうか？,What are we going to do?
CHAT_COM_250,何からやっちゃう？,What are you doing?
CHAT_COM_251,次どうする？,What do we do next?
CHAT_COM_252,次なににする？,What are we going to do next?
CHAT_COM_253,レベル上げどう？,How about leveling?
CHAT_COM_254,PP稼ぎ行かない？,Do you want to farm PP?
CHAT_COM_255,CP稼ぎどう？,How about farming CP?
CHAT_COM_256,CP稼ぎはどう？,How about farming CP?
CHAT_COM_258,オーブ集め行こう！,Let's go farming Orbs!
CHAT_COM_257,ハイオーブ集め行こう！,Let's collect High Orbs!
CHAT_COM_259,ウォーミッション行こう！,Let's do War Missions!
CHAT_COM_261,いいね！,That's nice!
CHAT_COM_262,回復してくる,I'll go healing
CHAT_COM_263,回復してくるね,I'll go healing
CHAT_COM_264,一瞬、離席します！,Just a moment!
CHAT_COM_265,すいません、ちょっとトイレ！,"Excuse me, toilet!"
CHAT_COM_266,すみません、お手洗いに――,"Excuse me, I need to go to the restroom"
CHAT_COM_267,おともします！,I'll go!
CHAT_COM_268,おまたせ！,Sorry for the wait!
CHAT_COM_269,おかえり！,Welcome back!
CHAT_COM_270,ヤバイ眠くなってきた――,"Not good, I'm getting sleepy..."
CHAT_COM_271,なんか眠くなってきた――,I'm getting sleepy or something like that...
CHAT_COM_272,ぼちぼちログアウトします,I'm logging out
CHAT_COM_273,そろそろログアウトします,I'll log out soon
CHAT_COM_274,決めポーズいくよ、せーの！,"Let's make a pose, come on!"
CHAT_COM_275,さあ、踊ろう！,Let's dance!
CHAT_COM_276,さあ、踊りましょう！,Let's dance!
CHAT_COM_277,いち、にの、さんはい！,One more time!
CHAT_COM_278,みんな集まれ！　こっちだ！,Everyone gather over here!
CHAT_COM_279,みんな集まって、こっちこっち！,Everyone gather over here!
CHAT_COM_280,ハイ、チーズ！,"Alright, cheese!"
CHAT_COM_281,よろこんで！,My pleasure!
CHAT_COM_282,それ、笑える！,That's funny!
CHAT_COM_283,それ、ウケる！,That's hilarious!
CHAT_COM_284,うわ、ミスった！！,"Oops, I made a mistake!!"
CHAT_COM_285,ごめん、ミスっちゃった！！,"I'm sorry, I made a mistake!!"
CHAT_COM_286,え、マジで？,"Oh, for real?"
CHAT_COM_287,え、ホントに？,"Oh, really?"
CHAT_COM_288,はいはい、なるほど ,"Yeah yeah, I see"
CHAT_COM_289,それは無理,That's impossible
CHAT_COM_290,し、失礼な！,"Hey, that's rude!"
CHAT_COM_291,し、失礼ね！,"Hey, that's rude!"
CHAT_COM_292,新人覚者だな？,You are a rookie?
CHAT_COM_293,最高じゃねーか！,Isn't it great!
CHAT_COM_294,神降臨！,God advent!
CHAT_COM_295,ふっかーつ！！,I'm back!
CHAT_COM_296,きたーーー！,Here it comes!
CHAT_COM_303,流れ変わった？,The flow has changed?
CHAT_COM_302,言ってる意味は分かる,I know what you mean
CHAT_COM_301,深く反省しております,I'm deeply sorry
CHAT_COM_299,あははは！,Ahahaha!
CHAT_COM_300,ウフフフ,Fufufu
CHAT_COM_297,はーっはっは！,Wahaha!
CHAT_COM_298,あーっはっは！,Wahaha!
CHAT_COM_304,イヤッホー！,Yahoo!
CHAT_COM_305,ワーイ！,Yay!
CHAT_COM_306,カッコイイ！,Cool!
CHAT_COM_307,カワイイ！,Cute!
CHAT_COM_308,ステキ！,Wonderful
CHAT_COM_309,ビューティフル！,Beautiful!
CHAT_COM_310,メリークリスマス！,Merry Christmas!
CHAT_COM_311,ハッピーニューイヤー！,Happy New Year!
CHAT_COM_312,トリックオアトリート！,Trick or Treat!
