key,old,new
kc_title_en,Keyconfig,Key Config
kc_title_jp,キーコンフィグ,Key Config
kc_cap_category,Category,Category
kc_bt_initialization,すべて初期設定に戻す,Default Keys
kc_cap_operating,操作説明,Operation Description
kc_pulldown_unspecified,指定なし,Unspecified
kc_ng_can_not_be_changed,このキーは変更できません,This key can't be changed
kc_pulldown_number,番号順,Sorted by Number
kc_pulldown_group,グループ順,Sorted by Group
kc_pulldown_setting,現在の設定キー順,Sorted by Current Key Config
kc_ng_overlap,%s番と重複しています,Overlapping with %s
kc_attention_disable_2stroke,ShiftキーやCtrlキーとの同時押し登録はできません,You can't register with Shift key or Ctrl key at the same time
kc_announce_please_enter_the_key,設定したいキーを入力してください,Please press the key you want to set
kc_bt_undo,１つ前に戻す,Undo
kc_bt_all_blank,すべてブランクキーにする,Blank Keys
