key,old,new
REWARD_MSG_LB_CONTENTS,Contents,Contents
REWARD_MSG_LB_REWARD_NUMBER,報酬件数：,Reward Total:
REWARD_MSG_LB_POCKET_G,所持金,
REWARD_MSG_LB_POCKET_R,所持リム,
REWARD_MSG_LB_POCKET_BO,所持ブラッドオーブ,Blood Orbs
REWARD_MSG_LB_SOUKO,保管ボックス,Storage Box
REWARD_MSG_TAB_COMSUME,消費アイテム,Consume Item
REWARD_MSG_TAB_MATERIAL,素材,Raw Material
REWARD_MSG_TAB_EQUIPMENT,武具,
REWARD_MSG_TAB_JOB,特殊アイテム,Special Item
REWARD_MSG_LB_STUFF,<VAL>/100,
REWARD_MSG_NOTION_ITEMOVER,保管ボックスがあふれてしまうため受け取りできません,
REWARD_MSG_NOTION_PLZ_PICK,選択報酬を選んでください,Please select a reward.
REWARD_MSG_NOTION_PLZ_ONE,１つ選んでください,Please choose one.
REWARD_MSG_REWARD_COMMON,基本報酬,Basic Reward
REWARD_MSG_REWARD_PREMIAM,<OPCS>報酬,<OPCS> Reward
REWARD_MSG_BUTTON_ALLGET,全て受け取る,Receive All
REWARD_MSG_BUTTON_END,一部受け取る,Receive Partial
REWARD_MSG_BUTTON_CANCEL,キャンセル,Cancel
REWARD_MSG_NOTION_ALLGET,全ての報酬を受け取りますか？,Do you want to receive all the rewards?
REWARD_MSG_NOTION_BUY,"チェックを付けていない報酬は売却されます
(未選択の選択報酬は破棄されます)
よろしいですか？
売却合計額：<VAL G>","Random Rewards that were not checked
will be sold.
(Select Rewards not checked will be lost.)
Are you sure?
Total Sale: <VAL G>"
REWARD_MSG_NOTION_CANCEL,報酬受け取りをやめます,Receive reward canceled.
REWARD_MSG_YES,はい,Yes
REWARD_MSG_NO,いいえ,No
REWARD_MSG_NOTION_FAILURE,報酬受け取りに失敗しました,Failed to accept rewards.
REWARD_MSG_NOTION_FINISH,"報酬を受け取りました
（アイテムは保管ボックスに送られます）","Received rewards.
(Items sent to the storage box.)"
REWARD_MSG_ANNOUNCE_QCLEAR,クエスト報酬が報酬ボックスに入りました,Quest rewards have been placed into your storage box.
REWARD_MSG_REWARD_BONUS,ボーナス報酬,Bonus Reward
REWARD_MSG_STOP_PLZ_PICK,"選択報酬が選ばれていないため
「全て受け取り」ができません","Some Select Rewards were not checked.
Not all items will be received."
REWARD_MSG_STOP_ITEMOVER,"保管ボックスが入りきらないため
「全て受け取り」ができません","The storage box is full.
Not all items will be received."
REWARD_MSG_KIND_RANKING,ランキング報酬,Ranking Reward
REWARD_MSG_KIND_BORDER,累計スコア報酬,Total Score Reward
REWARD_MSG_KIND_QUEST,クエスト報酬,Quest Reward
REWARD_MSG_NOTICE_SELL,"チェックを付けていない報酬は売却されます
(未選択の選択報酬は破棄されます)
よろしいですか？
売却合計額：<VAL GOLD>","Random Rewards that were not checked
will be sold.
(Select Rewards not checked will be lost.)
Are you sure?
Total Sale: <VAL GOLD>"
REWARD_MSG_TITLE,Reward,Reward
REWARD_MSG_TITLE_SUB,報酬受け取り,Rewards Received
REWARD_MSG_KIND_SUPPORT,アシスト報酬,Assist Reward
REWARD_MSG_NO_REWOARD,報酬はありません,There are currently no rewards.
REWARD_MSG_ALL_DELETE,報酬を売却しました,Rewards have been sold.
REWARD_MSG_REWARD_PARTS,部位破壊報酬,
REWARD_MSG_GM_TITLE_SUB,グランドミッション最終報酬受け取り,Grand Mission Final Rewards Received
REWARD_MSG_RECEIVE_LIMIT,受け取り期限まで,
REWARD_MSG_OTHER_REWARD_NOTICE,特別報酬あり,
