key,old,new
CHAT_COM_313,炎が弱点だ！,Fire is its weakness!
CHAT_COM_314,弱点は炎！,Its weakness is fire!
CHAT_COM_315,氷が弱点だ！,Ice is its weakness!
CHAT_COM_316,弱点は氷！,Its weakness is ice!
CHAT_COM_317,雷が弱点だ！,Lightning is its weakness!
CHAT_COM_318,弱点は雷！,Its weakness is lightning!
CHAT_COM_319,聖が弱点だ！,Holy is its weakness!
CHAT_COM_320,弱点は聖！,Its weakness is holy!
CHAT_COM_321,闇が弱点だ！,Dark is its weakness!
CHAT_COM_322,弱点は闇！,Its weakness is dark!
CHAT_COM_323,毒が有効だ！,Poison is effective!
CHAT_COM_324,毒が有効よ！,Poison is effective!
CHAT_COM_325,睡眠が有効だ！,Sleep is effective!
CHAT_COM_326,睡眠が有効よ！,Sleep is effective!
CHAT_COM_327,遅延が有効だ！,Torpor is effective!
CHAT_COM_328,遅延が有効よ！,Torpor is effective!
CHAT_COM_329,気絶が有効だ！,Stun is effective!
CHAT_COM_330,気絶が有効よ！,Stun is effective!
CHAT_COM_331,封印が有効だ！,Skill seal is effective!
CHAT_COM_332,封印が有効よ！,Skill seal is effective!
CHAT_COM_333,石化が有効だ！,Petrification is effective!
CHAT_COM_334,石化が有効よ！,Petrification is effective!
CHAT_COM_335,黄金化が有効だ！,Gilding is effective!
CHAT_COM_336,黄金化が有効よ！,Gilding is effective!
CHAT_COM_337,装甲をこわそう！,Let's break the armor!
CHAT_COM_338,装甲をこわしましょう！,Let us break the armor!
CHAT_COM_339,ブレイクを狙おう！,Let's aim to break!
CHAT_COM_340,ブレイクを狙いましょう！,Let us aim to break!
CHAT_COM_341,吹き飛ばし力の高い技が有効だ！,High blow-power skills are effective!
CHAT_COM_342,吹き飛ばし力の高い技が有効よ！,High blow-power skills are effective!
CHAT_COM_343,侵食核を潰そう！,Let's destroy the infected growths!
CHAT_COM_344,侵食核を潰しましょう！,Let us destroy the infected growths!
CHAT_COM_345,胞子を止める！,Stop the spores!
CHAT_COM_346,胞子を止めます！,Stop the spores!
CHAT_COM_347,コアを出す！,Core reveal!
CHAT_COM_348,コア、出します！,I will reveal the core!
CHAT_COM_349,コアを叩こう！,Let's attack the core!
CHAT_COM_350,コアを叩きましょう！,Let us attack the core!
CHAT_COM_351,バリア張ります！,Form a barrier!
CHAT_COM_352,まとめて回復する！,Gather around and heal!
CHAT_COM_353,大技、キメる！,"A big technique, nail it!"
CHAT_COM_354,大技、キメるわ！,"A big technique, nail it!"
CHAT_COM_355,大魔法いくぞ！,Here comes the great magick!
CHAT_COM_356,大魔法いくわよ！,Here comes the great magick!
CHAT_COM_357,っしゃあ、いくぞ！,"Well, let's go!"
CHAT_COM_358,さあ、いくわよ！,"Well, let's go!"
CHAT_COM_359,そろそろ本気出す！,Time to get serious!
CHAT_COM_360,絶対に許さん,I will not allow it!
CHAT_COM_361,大ピンチ！,Big pinch!
CHAT_COM_362,はっ、余裕だな！,"Hah, I can afford it!"
CHAT_COM_363,ま、余裕ね！,"Well, I can afford it!"
CHAT_COM_364,大型、沈黙！,Large silence!
CHAT_COM_365,ナイスバリア！,Nice barrier!
CHAT_COM_366,ナイスヒール！,Nice heal!
CHAT_COM_367,ナイスダウン！,Nice down!
CHAT_COM_368,ナイスブレイク！,Nice break!
CHAT_COM_369,オーク相手に情けは無用！,No mercy for orcs!
CHAT_COM_370,これより生死の検分に入る！,I'm at a life and death situation!
CHAT_COM_371,果たせぬ夢などない！,There is no dream that cannot be realized!
CHAT_COM_372,攻城兵器、来たぞ！,"Siege weapons, here I come!"
CHAT_COM_373,攻城兵器、来たわ！,"Siege weapons, here I come!"
CHAT_COM_374,大砲を使え！,Use the cannon!
CHAT_COM_375,大砲を使おう！,Use the cannon!
CHAT_COM_376,大砲を潰せ！,Destroy the cannons!
CHAT_COM_377,大砲をこわそう！,Let's break the cannons!
CHAT_COM_378,突入成功！,Successfuly charged into!
CHAT_COM_379,開門した！　全員突撃！,"Gate opened, everyone charge!"
CHAT_COM_380,開門したわ！　全員突撃！,"Gate opened, everyone charge!"
CHAT_COM_381,部隊を分けて攻略しよう！,Let's divide our troops and capture it!
CHAT_COM_389,必ず生きて帰る！,We will live and go home!
CHAT_COM_390,必ず生きて帰ろう！,We will live and go home!
CHAT_COM_382,敵将を倒して帰るぞ！,Let's defeat the general and go home!
CHAT_COM_383,敵将、倒して帰りましょう！,Let's defeat the general and go home!
CHAT_COM_384,流れが悪い、押し返す！,"They hold the advantage, fall back!"
CHAT_COM_385,流れが悪い、反撃！,"We are at the disadvantage, counterattack!"
CHAT_COM_386,いいぞ！　優勢だ！,We hold the advantage!
CHAT_COM_387,優勢！　良い感じ！,"Advantage, nice!"
CHAT_COM_388,制圧完了！,Domination complete!
CHAT_COM_391,完全勝利！,Total victory!
CHAT_COM_392,我がクランの名にかけて！,In the name of our clan!
CHAT_COM_393,この勝利を我がクランへ捧げよう,Let's dedicate this victory to our clan!
CHAT_COM_394,この勝利、我がクランへ捧げましょう,Let's dedicate this victory to our clan!
