key,old,new
q21017008_00_564,長考の種,
q21017008_00_564,"【敵群討伐クエスト】
依頼者から話を聞き
敵の群れを討伐する",
q21017008_00_564,"<NAME AREA>からの報告によると
魔物の勢力が一時的に増し、危険な状況にあるという",
q21017008_00_564,"あぁ、なんてこと――
このキンガルにまで
ついに侵食の魔の手が及ぶなんて！
もう駄目よ、お仕舞だわ――
ここもモローのようになってしまうんだわ",
q21017008_00_1222,指定された場所で魔物の群れを探す(残り３),
q21017008_00_1225,遭遇した魔物群を討伐する,Defeat the encountered demon group
q21017008_00_1223,残る魔物の群れを探す(残り２),
q21017008_00_1225,遭遇した魔物群を討伐する,Defeat the encountered demon group
q21017008_00_1224,残る魔物の群れを探す(残り１),
q21017008_00_1225,遭遇した魔物群を討伐する,Defeat the encountered demon group
q21017008_00_1169,依頼者に報告する,Report to the requester
