key,old,new,format
SPOT_NAME_,ミスリウ森林深部,Mysree Grove,{'proper': True}
SPOT_NAME_,標の祠　ミスリウ森林深部,Mysree Grove Shrine,
SPOT_NAME_,イヴァンの山小屋,Ivan's Lodge,{'proper': True}
SPOT_NAME_,ディナン山道,Deenan Mountain Road,
SPOT_NAME_,密猟者のキャンプ,Poachers' Camp,
SPOT_NAME_,イニアス湿地帯,Inias Wetlands,
SPOT_NAME_,蒼葉のテラス,Greenleaf Terrace,
SPOT_NAME_,聖獣の間,Lair of the Holy Beast,
SPOT_NAME_,名もなき廃村,Nameless Deserted Village,
SPOT_NAME_,巨人の寝床,The Giant's Bed,"{'new': ""Giant's Bed""}"
SPOT_NAME_,霧たなびく深森,Deep Misty Woods,
SPOT_NAME_,森の廃墟地下,Forest Ruins Cellar,
SPOT_NAME_,深緑のテラス,Dark Green Terrace,
SPOT_NAME_,霊泉のテラス,Sacred Spring Terrace,
SPOT_NAME_,霧幻のテラス,Misty Illusion Terrace,
