key,old,new
menu_cmn_skill_grand,地上,Ground
menu_cmn_skill_air,空中,Air
menu_cmn_skill_climb,しがみつき,Climb
menu_cmn_weight_verylight,Very Light,Very Light
menu_cmn_weight_light,Light,Light
menu_cmn_weight_medium,Medium,Medium
menu_cmn_weight_heavy,Heavy,Heavy
menu_cmn_weight_beryheavy,Very Heavy,Very Heavy
menu_cmn_weight_over,Over,Over
menu_cmn_next,Next,Next
menu_cmn_cost,Cost,Cost
menu_cmn_hp,HP,HP
menu_cmn_stamina,ST,ST
menu_cmn_max,MAX,MAX
menu_cmn_si_height,<VAL> cm,<VAL> cm
menu_cmn_job,Job,Job
menu_cmn_category,Category,Category
menu_cmn_slash_val,/<VAL>,/<VAL>
menu_cmn_val_slash_val,<VAL>/<VAL>,<VAL>/<VAL>
menu_cmn_slash,/,/
menu_cmn_filter,フィルタ,Filter
menu_cmn_filter_off,フィルタを解除,Unfiltered
menu_cmn_filter_select,適用するフィルタを選んでください,Please select the filter to apply
menu_cmn_header_item,Item,Item
menu_cmn_header_storage,Storage,Storage
menu_cmn_open_online_shop,オンラインショップを開く,Open online shop
menu_cmn_shortage_gs,"<UNTN GS>が不足しています
（所持数：<HAVE GS>）",<UNTN GS> is missing. (Number in possession: <have GS>)
menu_cmn_item,アイテム,Item
menu_cmn_receive_bag,アイテムバッグに受け取る,Receive in item bag
menu_cmn_receive_box,保管ボックスに受け取る,Receive in storage
