"key","old","new"
"OS_catalog_pawn","クラフトマスターポーン","Craft Master Pawn"
"OS_index_en","Online Shop","Online Shop"
"OS_index_jp","オンラインショップ","Online Shop"
"OS_menu_gs_buy","黄金石の購入","Buy Golden Gemstones"
"OS_menu_status","ステータスの確認","Check Status"
"OS_title_gs_buy","黄金石の購入","Buy Golden Gemstones"
"OS_cap_remnant","CAP残高","CAP Balance"
"OS_cap","CAP","CAP"
"OS_relogin","COGのログインが切れています
ブラウザからCOG認証を行ってください","COG login has expired
Please use your browser to authenticate COG"
"OS_cogid","COG ID","COG ID"
"OS_status_title","黄金石ステータス","Golden Gemstone Status"
"OS_status_bkbtn","黄金石ショップ","Golden Gemstone Shop"
"OS_status_ticket","Ticket","Ticket"
"OS_status_cticket","シルバーチケット","Silver Ticket"
"OS_status_usecourse","Used Passport and Course","Used Passport and Course"
"OS_status_time_remaining","使用期限：","Expires:"
"OS_status_time","時間","h"
"OS_status_newcourse","未使用コース","Unused Courses"
"OS_status_history","黄金石使用履歴","GG Usage History"
"OS_status","ステータス","Status"
"OS_buy_item","<NAME ITEM> を 黄金石 <VAL> 個で購入します
よろしいですか？","Are you sure you want to purchase <NAME ITEM> with <VAL> Golden Gemstones?"
"OS_buy_goldstone","黄金石 <VAL> 個を <VAL CAP>で購入します
よろしいですか？","Are you sure you want to purchase <VAL>
Golden Gemstones with <VAL CAP>?"
"OS_btn_ok","購入","Buy"
"OS_btn_ng","キャンセル","Cancel"
"OS_catalog_pickup","ピックアップ","Pickup"
"OS_catalog_option","<OPCS>","<OPCS>"
"OS_catalog_wepon","武具・防具","Weapon / Armor"
"OS_status_time_remaining_day","日","d"
"OS_date","<DATE>","<DATE>"
"OS_cod_impression","COG認証","COG ID"
"OS_used_btn","使用中","Active"
"OS_use_btn","使用","Use"
"OS_use_confirm","<NAME ITEM>をいますぐ使用しますか？","Do you want to use <NAME ITEM> right now?"
"OS_use_item","<NAME ITEM>を使用します
よろしいですか？","<NAME ITEM> will be used.
Is this okay?"
"OS_goldstone_num","黄金石 <VAL> 個","<VAL> Golden Gemstones"
"OS_announce_buy_use_item","<NAME ETC> を購入して使用しました","Purchased and used <NAME ETC>."
"OS_announce_buy_gs","黄金石 <VAL> 個を購入しました","Purchased <VAL> Golden Gemstones."
"OS_announce_use_item","<NAME ETC> を使用しました","<NAME ETC> has been used."
"OS_announce_voice","ポーンボイス","Pawn Voice"
"OS_announce_buy","<NAME ETC> を購入しました","Purchased <NAME ETC>."
"OS_announce_buyanduse","<NAME ETC> を購入して使用しました","Purchased and used <NAME ETC>."
"OS_announce_use","<NAME ETC> を使用しました","<NAME ETC> has been used."
"OS_announce_havingnum","所持数：<VAL>","You have: <VAL>"
"OS_announce_gpdialog","黄金石の確認","Check GG"
"OS_catalog_collabo","コラボレーション装備","Collaboration Equipment"
"OS_buy_cap","CAPチャージ","Charge CAP"
"OS_catalog_passport","パスポート","Passports"
"OS_index_status_en","Online Station","Online Station"
"OS_index_status_jp","オンラインステーション","Online Station"
"OS_histry_information","最新50件(古い履歴から順に削除されます)","The last 50 entries are shown (Older entries are deleted)"
"OS_annnounce_nocap","戦闘中にCAPの購入はできません","You cannot purchase CAP while in combat."
"OS_annnounce_multi_option","ダブル特典・トリプル特典対象商品です","This is a product eligible for double and triple rewards."
"OS_annnounce_nolist","表示するリストがありません","There is no list to display."
"OS_activetetimer_remaining","有効期限：","Expires:"
"OS_index_category","Category","Category"
"OS_index_management","COGアカウント管理","COG Account Management"
"OS_index_active","発動中","Active"
"OS_index_caption","Details","Details"
"OS_index_price","価格：","Price:"
"OS_index_yen","円","Yen"
"OS_index_exrecord","COG購入履歴（CAPの購入・継続利用権）","Purchase History (CAP Purchase/Continued Use Rights)"
"OS_index_record","COG購入履歴","COG Purchase History"
