key,old,new
area_list_title,Dispatch Area,Dispatch Area
area_list_title_sub,遠征エリア,Expedition Area
area_list_header0,エリア,Area
area_list_header1,ホットスポット,Hotspot
area_list_header2,遠征数,Dispatch Num
area_list_err_no_permission,そのエリアに遠征する権利を購入していません,
result_hotspot_discovered,<VAL>でホットスポットを発見しました,Found a hotspot in <VAL>
sally_leave_party_confirm,"ポーン遠征隊に派遣するため
パーティーを離脱しますがよろしいですか？

<COL aa1414>※パーティーからメインポーンがいなくなると
　サポートポーンも自動的に離脱します</COL>",
sally_not_enough_cost_select,"現在、ポーン遠征隊を派遣することができません

再度、ポーン遠征隊を派遣するには
次回のリセット時間までお待ちいただくか
<COL ffdc78>黄金石<VAL>個</COL>を使用することで直ちに派遣できます

(リセット時間はプレイマニュアルをご覧ください)",
sally_use_gp,黄金石を使用する,Use Golden Gemstone
sally_open_onlineshop,オンラインショップを開く,Open Online Shop
sally_recover_cost_confirm,"<COL ffdc78>黄金石<VAL>個</COL>を消費して
直ちに派遣できるようにしますか？
（所持数：<VAL>）",
sally_recover_cost_notice,直ちに派遣できるようになりました,
sally_condition,"ポーン：%s
遠征先：%s
状況　：%s","Pawn: %s
Destination: %s
Situation: %s"
sally_hot_spot,<COL ffdc78>ホットスポット</COL>,<COL ffdc78>Hotspot</COL>
sally_nothing,特になし,Nothing in particular
sally_normal,通常派遣,Normal dispatch
sally_with_support,黄金石を使用して強化派遣,Enhanced dispatch using Golden Gemstone
sally_normal_confirm,"ポーン遠征隊を通常派遣します
よろしいですか？","Are you sure you want to dispatch
the Pawn Expedition Corps normally?"
sally_with_support_confirm,"<COL ffdc78>強化派遣</COL>すると<COL ffdc78>希少なアイテム</COL>が確実に入手できます
<COL ffdc78>黄金石<VAL>個</COL>を消費して強化派遣しますか？
（所持数：<VAL>）",
sally_with_support_not_enough_gp_select,"黄金石が不足しています
強化派遣するには<COL ffdc78>黄金石<VAL>個</COL>が必要です
（所持数：<VAL>）",
sally_normal_notice,ポーン遠征隊を通常派遣しました,Pawn Expedition Corps dispatched normally.
sally_with_support_notice,ポーン遠征隊を<COL ffdc78>強化派遣</COL>しました,
sally_state_wait_notice,"ポーン遠征隊を派遣していません
パートナーポーンから派遣がおこなえます",
sally_state_not_enough_cost_notice,"ポーン遠征隊を派遣していません

再度、ポーン遠征隊を派遣するには
次回のリセット時間までお待ちいただくか
黄金石を使用することで直ちに派遣できます
パートナーポーンを訪ねてみてください

(リセット時間はプレイマニュアルをご覧ください)",
sally_state_check_reward_notice,"ポーン遠征隊が帰還しています
<COL ffdc78>パートナーポーンから報酬を確認してください</COL>",
sally_hot_spot_with_support,<COL ffdc78>ホットスポット（強化派遣中）</COL>,<COL ffdc78>Hotspot (Enhanced dispatch)</COL>
sally_stop,派遣を中止,Stop dispatch
sally_stop_confirm,"ポーン遠征隊の派遣を中止しますか？

再度、ポーン遠征隊を派遣するには
次回のリセット時間までお待ちいただくか
黄金石を使用することで直ちに派遣できます

(リセット時間はプレイマニュアルをご覧ください)",
sally_stop_notice,"ポーン遠征隊の派遣を中止しました
次回、クラン拠点へ訪れた時に帰還します",
sally_need_partner_notice,"ポーン遠征隊を派遣するには
パートナーポーンが必要です",
sally_error_already_supported,すでに強化派遣しています,
sally_error_cannot_support,強化派遣はホットスポットでのみ使用可能です,
sally_state_not_have_expedition,"ポーン遠征隊が解放されていません
ポーン遠征隊は拠点拡張から購入できます",
pop_buff_bonus_title,Special Bonus Buff,
