Type,Japanese,English, ,English description,Vocation,Game
Shield,アビスペイン2,Abyssal Anguish,,An advanced form of Dark Anguish that adds a magickal shockwave and remains active for a longer period of time.,Mystic Knight,Dragon's Dogma
Shield,ダークネスガード2,Abyssal Riposte,,An advanced form of Darkcounter that persists for a longer period of time and conjures more Darkness and has a chance to inflict Torpor.,Mystic Knight,Dragon's Dogma
Shield,ダークネスエンチャント2,Abyssal Trance,,An advanced form of Dark Enchanter that extends and amplifies the enchantment as well as the recipient's magick. Affects entire party.,Mystic Knight,Dragon's Dogma
Augment,速採,Acquisition,,Hastens the speed with which you gather and mine items | Reduces the time to mine and gather items. (Doesn't speed up filling Empty Flasks ) | Scroll of Acquisition | 1 and 2,Augments,Dragon's Dogma
Sword,恨斬,Act of Atonement,,"Damage taken while not defending is stored, lending power to a devastating counterattack. The power of the counterstrike will increase based on the damage taken.",Warrior,Dragon's Dogma
Sword,恨斬2,Act of Vengeance,,"An advanced form of Act of Atonement. The blade is held at the ready, leaving the user vulnerable but damage is channeled into an even greater counter.",Warrior,Dragon's Dogma
Augment,開眼,Acuity,,Greatly augments your Magick | Increases Magick by 20%,Sorcerer,Dragon's Dogma
Augment,巧守,Adamance,,Halves the Stamina consumed when you block attacks with your shield | Halves the stamina drain from blocking attacks with a shield.,Mystic Knight,Dragon's Dogma
Augment,密着,Adhesion,,Makes it harder for an enemy to throw you off whilst you're clinging to it | Prevents most interuption (and resultant stamina loss) whilst climbing monsters. | Scroll of Adhesion | 2 and 3,Augments,Dragon's Dogma
Dagger,アギト裂き2,Advanced Trigger,,An advanced form of Toss and Trigger that both strengthens the upward slash and broadens the subsequent blast.,Strider,Dragon's Dogma
Augment,魅了,Allure,,Doubles the increase in your affinity when you give items to non-pawns | (Probably bugged and has no significant increase in affinity gain from gifts),Magick Archer,Dragon's Dogma
Staff,ヒーリングスポット,Anodyne,,Invokes a magickal sigil which recovers the Health of those who enter.,Mage,Dragon's Dogma
Sword,刀牙昇斬2,Antler Toss,,An advanced form of Tusk Toss able to lift even heavier foes aloft as the blade traces a grand skyward arc. It can strike foes multiple times midair.,Assassin,Dragon's Dogma
Augment,耐魔,Apotropaism,,Reduces damage sustained from Magick attacks | Magick based damage is reduced by 30 Health . (more so in Hard Mode ),Mage,Dragon's Dogma
Sword,退魔剣聖斬2,Arc of Deliverance,,An advanced form of Arc of Might that channels all one's power into an even stronger blow.,Warrior,Dragon's Dogma
Sword,退魔剣聖斬,Arc of Might,,Channels a vast amount of strength into the ultimate blow. Requires the protection of one's allies whilst preparing.,Warrior,Dragon's Dogma
Sword,退魔剣聖斬EX,Arc of Obliteration,,An advanced form of Arc of Deliverance that unleashes an even mightier blow and allows faster movement while channeling.,Warrior,Dragon's Dogma
Augment,腕力,Arm-Strength,,Halves the Stamina consumed when you cling to objects or climb terrain | Halves the stamina drain when climbing . Doesn't affect climbing skill stamina use,Strider,Dragon's Dogma
Augment,速詠,Articulacy,,Diminishes the time required to intone any spell | Shortens all spell incantation time by 10%. (Stacks with Wyrmking's Ring ),Sorcerer,Dragon's Dogma
Augment,快走,Athleticism,,Reduces Stamina consumed whilst running | Reduces stamina use whilst running . | Scroll of Athleticism,Augments,Dragon's Dogma
Augment,攻魔,Attunement,,Augments your Magick | Magick is increased by 10%.,Mage,Dragon's Dogma
Augment,覇気,Audacity,,Makes you harder to knock off your feet while charging an attack | Increases knockdown and stagger resistance when charging attacks.,Warrior,Dragon's Dogma
Augment,孤高,Autonomy,,Grants you additional Strength and Defenses when you venture forth alone | When solo gain 70% Strength and Magick (reduced to 20% in Dark Arisen ). Also reduce Physical and Magick damage. (More so in Hard Mode ).,Assassin,Dragon's Dogma
Augment,覚醒,Awareness,,Greatly reduces damage sustained in Magick attacks | Reduces incoming magic damage by 50 health . (More so in Hard Mode ),Sorcerer,Dragon's Dogma
Dagger,返し蹴り,Back Kick,,Pulls back momentarily afore unleashing a frontal kick.,Assassin,Dragon's Dogma
Dagger,火炎衣,Backfire,,"Sets the user's body ablaze, eroding their own life but also causing harm to all they touch. Press the assigned button to light, press it again to extinguish.",Magick Archer,Dragon's Dogma
Augment,鉄壁,Bastion,,Greatly reduces damage sustained in physical attacks. | Mitigates incoming physical damage by 50 health points. (More so Hard Mode ),Warrior,Dragon's Dogma
Sword,獣惹き,Battle Cry,,Pierces the air with a roar that draws nearby enemies' attention.,Warrior,Dragon's Dogma
Augment,祝福,Beatitude,,Increases the duration of curative magick's effects | The sigils of healing magick such as Halidom or Anodyne lasts 50% longer.,Mage,Dragon's Dogma
Dagger,かまいたち,Biting Wind,,"Dashes past the target with blades extended, delivering slashes that can be followed with further attacks on contacs.",Strider,Dragon's Dogma
Staff,ブラインドウォーク,Blearing,,Invokes a magickal sigil around the user that blinds foes who enter.,Mage,Dragon's Dogma
Shield,ホーリーガード2,Blessed Riposte,,An advanced form of Holycounter that persists for a longer period of time and conjures more beams of Holy light.,Mystic Knight,Dragon's Dogma
Shield,ホーリーエンチャント2,Blessed Trance,,An advanced form of Holy Enchanter that extends and amplifies the enchantment as well as the recipient's magick. Affects entire party.,Mystic Knight,Dragon's Dogma
Sword,一閃突き,Blink Strike,,Rushes the target and visits a powerful blow upon them.,Assassin,Dragon's Dogma
Sword,一閃突きEX,Blitz Strike,,An advanced form of Burst Strike that moves more quickly and travels even greater distances.,Assassin,Dragon's Dogma
Shield,アイスガードEX,Blizzard Feint,,An advanced form of Frost Riposte that further extends the duration and conjures even more shards of ice.,Mystic Knight,Dragon's Dogma
Shield,アイスエンチャントEX,Blizzard Invocation,,"An advanced form of Frost Trance that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Augment,修羅,Bloodlust,,"Augments your Strength and mitigates damage taken, but only at nighttime | At night gain 70% Strength and Magick . (In Dark Arisen reduced to 20%). Also reduce Physical and Magick damage (More damage reduction in Hard Mode )",Assassin,Dragon's Dogma
Bow,仕込み痺れ矢,Blunting Arrow,,Looses an arrow steeped in paralyzing elixir that induces torpor in the target.,Assassin,Dragon's Dogma
Bow,壁刺し射ち2,Body Binder,,An advanced form of Foot Binder that binds the target for a longer period of time.,Ranger,Dragon's Dogma
Staff,メテオフォール,Bolide,,Calls meteors down from the heavens to land around the user. The user may move after deployment.,Sorcerer,Dragon's Dogma
Shield,サンダーガードEX,Boltstorm Feint,,"An advanced form of Thunder Riposte that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Shield,サンダーエンチャントEX,Boltstorm Invocation,,"An advanced form of Lightning Trance that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Bow,帯魔剛,Bracer Arrow,,Looses a magickal arrow that fortifies an ally against reeling from enemy blows for a time.,Magick Archer,Dragon's Dogma
Dagger,断頭台EX,Brain Splitter,,An advanced form of Skull Splitter that hastens the speed of the spin in order to increase the numbers of strikes.,Strider,Dragon's Dogma
Sword,払い斬り,Broad Cut,,Cuts a broad swath with the blade while falling back to avoid attacks.,Assassin,Dragon's Dogma
Sword,払い斬り2,Broad Slash,,An advanced form of Broad Cut that allows the user to fall back in the direction of their choosing while cutting a broad swath with the weapon.,Assassin,Dragon's Dogma
Staff,サンダーウィップ,Brontide,,"Conjures a whip-like bolt of lightning capable of damaging foes. (Attack with [Heavy] and [Light] , press [Jump] to cancel.)",Sorcerer,Dragon's Dogma
Sword,一閃突き2,Burst Strike,,An advanced form of Blink Strike honed to travel greater distances before visiting a powerful blow upon foes.,Assassin,Dragon's Dogma
Sword,魔人斬りEX,Calamitous Lash,,An advanced form of Indomitable Lash that can be charged an additional level to unleash even more destructive power.,Warrior,Dragon's Dogma
Sword,魔人突きEX,Calamitous Lunge,,"An advanced form of Indomitable Lunge that moves even more quickly, and increases the distance traveled.",Warrior,Dragon's Dogma
Core Skill,,Carve,,Continuous attacks with a dagger.,Strider,Dragon's Dogma
Sword,空舞の刀身2,Catapult Blade,,An advanced form of Ladder Blade that offers the flat of the blade to allies to fling them to greater heights.,Warrior,Dragon's Dogma
Sword,無心斬2,Clairvoyance,,"An advanced form of Clarity. Holds the blade in wait, merely deflecting and countering attack from a greater range, pulling more foes into the attack.",Assassin,Dragon's Dogma
Sword,無心斬,Clarity,,"Holds the blade in wait, deflecting and seamlessly countering enemy attacks.",Assassin,Dragon's Dogma
Bow,降らし射ち,Cloudburst Volley,,Sends a wall of arrows skyward to rain down on a broad area.,Strider,Dragon's Dogma
Augment,奮迅,Clout,,Greatly augments your Strength | Increases Strength by 20%.,Warrior,Dragon's Dogma
Staff,フレイムウォール,Comestion,,"Generates a towering wall of flame; though only modest in power, it ignites adversaries with ease.",Sorcerer,Dragon's Dogma
Bow,流星射ち2,Comet Shot,,"An advanced form of Meteor Shot that lets the user adjust the arrow's range, making it easier to strike faraway foes.",Ranger,Dragon's Dogma
Sword,円月斬り,Compass Slash,,"Spins with blade extended, drawing a deadly circle especially effective when surrounded. Employable while under attack.",Assassin,Dragon's Dogma
Augment,制魔,Conservation,,"Reduces the Stamina consumed when you perform a magick weapon skill | Reduces the stamina used for both casting and holding most spells. Spells that require Magick Bows , Magick Shields , Daggers , or Swords generally do not benefit.",Sorcerer,Dragon's Dogma
Core Skill,回り受け身,Controlled Fall,,"Tucks the body into a tight roll when falling, mitigating harm.",Warrior,Dragon's Dogma
Augment,速搬,Conveyance,,Hastens your movement speed whilst carrying a person or object | Increases walking and jogging speed whilst carrying things. | Scroll of Conveyance | 1 and 2,Augments,Dragon's Dogma
Bow,渦巻き射ちEX,Corkscrew Arrow,,An advanced form of Spiral Arrow that shortens the charging time and adds still more strikes to the barrage.,Ranger,Dragon's Dogma
Sword,大輪斬2,Corona Slash,,An advanced form of Spark Slash that carves through foes in a broader radius around the user.,Warrior,Dragon's Dogma
Shield,威武気EX,Crackdown,,An advanced form of Showdown that shortens the charging period but extends the duration of Strength boost.,Assassin,Dragon's Dogma
Bow,仕込み軟体矢2,Crippling Arrow,,An advanced form of Invasive Arrow that weakens the target area for a longer period of time.,Ranger,Dragon's Dogma
Dagger,かまいたち2,Cutting Wind,,"An advanced form of Biting Wind. Slashes past the target, appending more strikes to the onslaught upon connecting with foe.",Strider,Dragon's Dogma
Augment,制動,Damping,,Decreases recoil after firing your bow | No recoil after bow or longbow shots.,Strider,Dragon's Dogma
Staff,ダークネスギフト2,Dark Affinity,,An advanced form of Dark Boon that augments the enchantment's duration as well as the recipient's Magick.,Sorcerer,Dragon's Dogma
Shield,アビスペイン,Dark Anguish,,Uses Dark magic to increase the attack range of the current weapon.,Mystic Knight,Dragon's Dogma
Staff,ダークネスギフト,Dark Boon,,Launches a bolt of magick that enchants an ally's weapon with darkness.,Sorcerer,Dragon's Dogma
Shield,ダークネスエンチャント,Dark Enchanter,,Enchants the weapon of both the user and any nearby pawns with Darkness.,Mystic Knight,Dragon's Dogma
Staff,ダークネスギフトEX,Dark Pact,,"An advanced form of Dark Affinity that extends its duration and power, and further boosts the recipient's Magick.",Sorcerer,Dragon's Dogma
Shield,ダークネスガード,Darkcounter,,Unleashes a knockdown wave when the user blocks an attack. A perfect block conjures a dark fog at the enemy that has a chance to Torpor .,Mystic Knight,Dragon's Dogma
Dagger,眩ませ縛り2,Dazzle Blast,,An advanced form of Dazzle Hold that tosses an explosive crafted to stun foes within a broader radius.,Strider,Dragon's Dogma
Dagger,眩ませ縛り,Dazzle Hold,,Casts a firework explosive into the fray that stuns nearby foes.,Ranger,Dragon's Dogma
Sword,えぐり突きEX,Deadly Gouge,,"An advanced form of Dire Gouge that boosts attack speed and frenquency, and is harder to break free of.",Assassin,Dragon's Dogma
Bow,とどめ射ち2,Deathly Arrow,,An advanced form of a Dire Arrow that increases the attack power with the amount of time spent preparing.,Ranger,Dragon's Dogma
Core Skill,,Defend,,Use your shield to block an enemy's attack.,Assassin,Dragon's Dogma
Core Skill,盾弾き,Deflect,,An advanced form of Defend that deflects attacks back toward the assailant.,Assassin,Dragon's Dogma
Shield,アビスアンガー,Demonspite,,Converts damage sustained while guarding into bolts of Dark magic. A perfect block conjures more bolts.,Mystic Knight,Dragon's Dogma
Shield,アビスアンガー2,Demonswrath,,An advanced form of Demonspite that extends the duration of the effect.,Mystic Knight,Dragon's Dogma
