key,old,new
EDIT_MSG_GUIDE_NAME,名前を設定します,Set name
EDIT_MSG_GUIDE_SEX,性別を設定します,Set gender
EDIT_MSG_GUIDE_PRESET,プリセットを選択できます,Select a preset
EDIT_MSG_GUIDE_RANDOM,顔や肌色をランダムで設定します,Randomize face and skin color
EDIT_MSG_GUIDE_HAIR,髪のパーツやカラーを設定します,Set hair style and color
EDIT_MSG_GUIDE_BONE,顔の輪郭を設定します,Set facial contours
EDIT_MSG_GUIDE_EYE,目のパーツやカラー、大きさ等を設定します,"Set eye shape, color, size, etc"
EDIT_MSG_GUIDE_EYEBROW,眉のパーツやカラー、間隔等を設定します,"Set brow shape, color, spacing, etc"
EDIT_MSG_GUIDE_NOSE,鼻のパーツや位置等を設定します,Set nose shape and position
EDIT_MSG_GUIDE_MOUSE,口のパーツや幅等を設定します,"Set mouth shape, width, etc"
EDIT_MSG_GUIDE_EAR,耳の大きさや向きを設定します,Set ear size and orientation
EDIT_MSG_GUIDE_FASHION,化粧や傷/その他、しわ等を設定します,"Makeup/scars/others, and set wrinkles, etc"
EDIT_MSG_GUIDE_COLOR,様々なカラーを設定します,Set a variety of colors
EDIT_MSG_GUIDE_BODY,肌のカラーや体格を設定します,Set skin color and build
EDIT_MSG_GUIDE_VOICE,声を設定します,Set voice
EDIT_MSG_GUIDE_PERSONAL,口調を設定します,Set personality
EDIT_MSG_GUIDE_VOICE_FREQUENTLY,発言頻度を設定します,Set speech rate
EDIT_MSG_BUTTON_GUIDE_HISTORY,ヒストリー,History
EDIT_MSG_BUTTON_GUIDE_HISTORY_L,元に戻る,Undo
EDIT_MSG_BUTTON_GUIDE_HISTORY_R,やり直す,Redo
EDIT_MSG_BUTTON_GUIDE_DEFAULT,デフォルトに戻す,Reset to Default
EDIT_MSG_BUTTON_GUIDE_SAVE_LOAD,セーブ / ロード,Save / Load
EDIT_MSG_BUTTON_GUIDE_CAMERA_ZOOM,モデル回転<PADM> / ズーム</PADM>,Rotate<PADM> / Zoom</PADM>
EDIT_MSG_BUTTON_GUIDE_CAMERA_ROTA,カメラ操作,Camera
EDIT_MSG_BUTTON_GUIDE_CHANGE_EQUIP,試着,Outfit
EDIT_MSG_BUTTON_GUIDE_CHANGE_LOCATION,背景切替,Background
EDIT_MSG_BUTTON_GUIDE_TRIAL_MOTION,ポーズの確認,Change Pose
EDIT_MSG_BUTTON_GUIDE_TRIAL_FACE,表情の確認,Change Expression
EDIT_MSG_BUTTON_GUIDE_TRIAL_VOICE,ボイスの試聴,Listen to Voice
