"key","old","new"
"q00030250_00_85","初代王の遺品","The Relics of the First King"
"q00030250_00_85","火垂れ山へ入るための門へ向かう","Head to the gate to enter Firefall Mountain"
"q00030250_00_4576","火垂れ山の入口へ向かう","Head to the entrance of Firefall Mountain"
"q00030250_00_4577","ジリアンと落ち合うためメガド居住層へ向かう","Head to the Megado residential level to rendezvous with Gillian"
"q00030250_00_4578","ジリアンから得た情報の屋敷を調べる","Examine the mansion with the information 
obtained from Gillian."
"q00030250_00_4592","冒険者のメッセージを頼りに次の場所を探す","Search for the next location, relying on adventurers message."
"q00030250_00_4579","ウルテカ山岳東部の洞窟へ向かう","Head to the cave in eastern Urteca Mountains"
"q00030250_00_4580","初代王の遺品の指輪を探す","Search for the ring of the first king's relics."
"q00030250_00_4581","遭遇した敵を殲滅する","Defeat the enemy encountered"
"q00030250_00_4582","初代王の遺品の指輪を探す","Search for the ring of the first king's relics."
"q00030250_00_4583","火垂れ山の入口にいるセロに報告する","Report to Cyril at the entrance to Firefall Mountain"
"q00030250_00_4709","レスタニアに帰還しジョゼフに報告する","Return to Lestania and report to Joseph"
