key,old,new
DELIVER_MSG_TITLE01,Quest List,
DELIVER_MSG_TITLE02,クエストリスト,Quest List
DELIVER_MSG_CAPTION_EN,Delivery Item,Item Delivery
DELIVER_MSG_CAPTION_JP,納品アイテム,Item Delivery
DELIVER_MSG_NOTION_NOQUEST,納品が必要なボードクエストを受注していません,There are no quest board orders that require a delivery.
DELIVER_MSG_LB_GOAL,目標納品数,Required Amount
DELIVER_MSG_NOTION_DELIVER,<NAME ITEM> × <VAL> を納品しました,<NAME ITEM> x<VAL> has been delivered.
DELIVER_MSG_NOTION_FINISH,"「<NAME QUEST>」
納品目標を全て達成しました","""<NAME QUEST>"" has met its delivery requirement."
DELIVER_MSG_BUTTON_FINISH,完了,Finish
DELIVER_MSG_BUTTON_END,キャンセル,Cancel
