key,old,new
item_sel_mandra_title,Mandragora Craft,Mandragora Craft
item_sel_mandra_title_sub,マンドラゴラを育てる,Mandragora Raising
item_sel_header_makable,作るもの,Crafting item
item_sel_empty_notice,項目がありません,No items available
item_sel_err_not_enough_material,素材が足りません,Insufficient materials
item_sel_guide_sell,売却,Sell
item_sel_infdelivery_title_en,Select Item,Select Item
item_sel_infdelivery_title_jp,納品するアイテムを選択してください,Please select items to deliver.
item_sel_sameitem_title_en,Same Item,Same Item
item_sel_sameitem_title_jp,所持している同じアイテム一覧,List of same items possessed.
