key,old,new
menu_item,アイテムバッグ,Item Bag
menu_key_item,キーアイテム,Key Items
menu_equip_status,ステータス・装備,Status / Equipment
menu_newspaper,レスタニアニュース,Lestania News
menu_quest,クエストログ,Quest Log
menu_master,ジョブ修練ログ,Job Training Log
menu_tutorial,チュートリアルガイド,Tutorial
menu_map,マップ,Map
menu_lobby,ロビー情報,Lobby Information
menu_rim_transport,リム転移,Rift Teleport
menu_party,パーティー管理,Party Management
menu_clan,クランステータス,Clan Status
menu_community,コミュニティリスト,Community List
menu_photo,フォトモード,Photo Mode
menu_gp_charge,黄金石の確認,Check Golden Gemstones
menu_option_sys,デバイス設定,System Config
menu_manual,プレイマニュアル,Play Manual
menu_support,サポート・報告,Support / Report
menu_license,ライセンス,License
menu_shut_down,ゲーム中断,Exit Game
menu_gp_status,オンラインステーション,Online Station
menu_gp_shop,オンラインショップ,Online Shop
menu_matching_profile,プロフィール編集,Edit Profile
menu_ls,グループチャット,Group Chat
menu_arisen_card,覚者プロフィール,Arisen Profile
menu_my_fixed_pattern,マイ定型文,My Phrases
menu_fixed_pattern,定型文,Phrases
menu_emote,エモート,Emotes
menu_mail,メール,Mail
menu_pawn,ポーン,Pawns
menu_pawn_command,ポーン命令,Pawn Order
menu_achievement,アチーブメント,Achievements
menu_server_change,ワールド変更,World Select
menu_exit_contents,コンテンツ中断,Exit Content
menu_option_chr,ゲーム設定,Game Config
menu_area_infomation,エリアリスト,Area List
menu_deli_box,アイテムポスト,Item Post
menu_photo_album,フォトアルバム,Photo Albums
menu_code,イベントコード入力,Event Code Input
menu_login_bonus,スタンプボーナス確認,Check Stamp Bonus
menu_confirm_go_title,"ゲームを中断してタイトル画面に戻ります
よろしいですか？",Are you sure you want to exit to the title?
menu_confirm_go_launcher,"ログアウトしてランチャー画面に戻ります
よろしいですか？",Are you sure you want to exit to the launcher?
menu_confirm_shutdown,"ログアウトしてゲームを終了します
よろしいですか？",Are you sure you want to exit the game?
menu_quit_select_shutdown,ログアウトしてゲームを終了する,Log out and exit game
menu_quit_select_go_title,タイトルに戻る,Return to title
menu_quit_select_go_launcher,ログアウトしてランチャーに戻る,Log out and return to launcher
menu_gacha,トレジャーズロット,Treasure Lot
menu_serch_player,プレイヤー検索,Player Search
menu_entryboard,エントリーボード,Entryboard
menu_quick_party,クイックパーティー,Quick Party
menu_caplink,カプリンク,Caplink
menu_ps_items,,
menu_clan_management,クラン管理,Clan Management
menu_boxgacha,ボックストレジャーズロット,Box Treasure Lot
menu_time_event,リワードミッション,Reward Mission
menu_ps_store,,
menu_ps_store_buy,,
menu_partyboard,募集掲示板,Recruitment Board
menu_partyboard_dialog,パーティー募集掲示板のカテゴリを選択してください,"Please select
Party Recruitment Board category."
menu_partyboard_type01,パーティー募集掲示板を開く,Open Party Recruitment Board
menu_pq_history,サブストーリーログ,Substory Log
menu_adv_guide,冒険ガイド,Adventure Guide
menu_infdelivery_event,大口納品イベント,Large Delivery Event
menu_exmboard_select,EXM募集掲示板,
menu_exmboard_dialog,エントリーするEXMを選択してください,
menu_board_select,確認する掲示板を選択してください,
menu_partyboard_select,パーティー募集掲示板,
