key,old,new
daily_mission_title,RewardMission,Reward Mission
daily_mission_title_sub,リワードミッション,Reward Mission
daily_mission_tab_summary,ミッション概要,Mission Summary
daily_mission_tab_reward_list,報酬リスト,Reward List
daily_mission_tab_target_list,目的対象,Objective Target
daily_mission_list_progress_title,進捗：,Progress: 
daily_mission_list_reward_title,報酬：,Reward: 
daily_mission_list_limit_title,期限：,Time Limit: 
daily_mission_list_progress_ok,<COL ffdc78>%d/%d 達成</COL>,<COL ffdc78>%d/%d ☑</COL>
daily_mission_list_progress_ng,%d/%d 未達成,%d/%d ☒
daily_mission_list_reward_get,受取済,Received
daily_mission_list_reward_get_enable,<COL ffdc78>受取可能</COL>,<COL ffdc78>Receivable</COL>
daily_mission_list_reward_still,ー,ー
daily_mission_summary_target_title,目的,Objective
daily_mission_summary_limit_title,期限,Time Limit
daily_mission_summary_limit_info,ミッション終了期限,Mission End Time Limit
daily_mission_reward_title,報酬アイテム,Reward Item
daily_mission_reward_state,<COL ffdc78>達成</COL>,
daily_mission_target_title,目的対象,Objective Target
daily_mission_get_reward_btn,報酬を受け取る,Receive Rewards
daily_mission_get_reward_title,"報酬アイテムをすべて受け取ります
受取先を選択してください",
daily_mission_get_reward_post,ポストに受け取る,Receive in Post
daily_mission_get_reward_bag,アイテムバッグに受け取る,Receive in Item Bag
daily_mission_get_reward_storage,保管ボックスに受け取る,Receive in Storage Box
daily_mission_get_reward_success,アイテムを受け取りました,
daily_mission_get_reward_error_non,受取可能なアイテムがありません,
daily_mission_list_reward_send,メール配信済,
daily_mission_no_time_event,配信されている期間イベントがありません,
daily_mission_no_reward,受取可能な報酬がありません,
daily_mission_limit_until_start,開始まで,Starts in 
daily_mission_limit_until_end,終了まで,Ends in 
daily_mission_limit_finish,終了,Ended
daily_mission_get_reward_wallet_title,報酬をすべて受け取りますか？,
daily_mission_get_reward_time_event,期間イベントの報酬はメールで配信されます,
daily_mission_title_mission_list,MissionList,Mission List
daily_mission_title_sub_mission_list,ミッションリスト,Mission List
daily_mission_title_special_reward,SpecialReward,Special Reward
daily_mission_title_sub_special_reward,特別報酬,Special Reward
daily_mission_title_time_event,TimeEvent,Time Event
daily_mission_title_sub_time_event,期間イベント,Time Event
