Japanese,English,english,speaker
廃骨場,Abandoned Boneyard,,
廃屋の地下室,Abandoned House Cellar,,
棄てられた地下道,Abandoned Underground Passage,,
ハイデル街道の枯れ井戸,Roadside Dry Well,,
肉裂き館,Flesh-rending Hall,,
アッバス,Abbas,,
忌み標の領域,Abhorrent territory,,
エイブラム,Abram,,
アシル,Achille​,,
アッカーシェラン,Acre Selund,,
アッカーシェラン[過去],Acre Selund (Past),,
アクタイオン,Actaeon,,
ポーン会話用アクティブ,Active Pawn,,
アデルドナハ,Adair Donnchadh,,
アデリン,Adelin,,
アデム,Adem,,
冒険者,Adventurer,,
アイダン,Aidan,,
エイダス,Aidas,,
アクギス,Agis,,
アキム,Akim,,
アラン,Alan,,
アルベ,Ailbhe,,
アルケミスト,Alchemist,,
亡都の錬金術師,Alchemist of the Dead City,,
錬金研究室,Alchemy Laboratory,,
錬金研究棟,Alchemical Research,,
アルフレド,Alfred,,
アルカン,Alkane,,
アレン,Allen,,
アルマ,Alma,,
アルタード・ズール,Altered Zuhl,,
選択の道,Alternative Path,,
アルヴァー,Alvar,,
アルビン,Alvin,,
アンビュロス大遺跡,Amburos Great Ruins,,
アンビュロス大遺跡　深部,Amburos Great Ruins Depths,,
アンビュロス大遺跡　中央部,Amburos Great Ruins: Center,,
さる錬金術師の家,An Alchemist's Home,,
原種の縄張り,Ancestral Territory,,
ミスリウ古墳墓,Mysree Barrow,,
ミスリウ古墳墓　狩猟の間,Mysree Barrow: Hunting Hall,,
ミスリウ古墳墓　不死の間,Mysree Barrow: Immortal's Hall,,
ミスリウ古墳墓　危険区域,Mysree Barrow: Dangerous Area,,
古の祭祀場,Ancient Ritual Ground,,
古き地下水網,Ancient Underground Channels,,
古代地下宮,Ancient Underground Shrine,,
古代地下宮　2階,Ancient Underground Shrine 2nd Floor,,
古代地下宮　最深部,Ancient Underground Shrine Depths,,
古代地下宮　隠し部屋,Ancient Underground Shrine Hidden Room,,
アンドレア,Andrea,,
アネリアン,Anerian,,
アンジェロ,Angelo,,
アニス,Anise,,
アニタ,Anita,,
アンナ,Anna,,
見習い覚者,Apprentice Arisen,,
見習い騎士,Apprentice Knight,,
アーチボルト,Archibald,,
アリアドネ,Ariadne,,
覚者,Arisen,,
覚者隊の隊士,Arisen Corps Regimental Soldier,,
覚者の自室,Arisen's Room,,
軍妖鳥の関所,Demon Bird Checkpoint,,
軍鬼の哨戒地,Demon Army Patrol Grounds,,
アルトフェイル,Arthfael,,
アルティン,Artin,,
アセナ,Asena,,
アーシェ,Ashe,,
アシュトン,Ashton,,
アスラン,Aslan,,
謁見の間,Audience Chamber,,
オドラン,Odran,,
オーギュスト,August,,
